%TITLE%
 XXX   230601/1612
 Saved by user: User on 20230601/1651 UTC
   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  810.07,   1939.00,     16.08,      6.93,    144.54,     13.57
  808.18,   1959.00,     15.94,      6.89,    146.26,     13.83
  806.29,   1979.00,     15.84,      6.85,    147.77,     13.95
  804.40,   1999.00,     15.74,      6.72,    148.60,     13.96
  802.51,   2019.00,     15.53,      6.49,    149.26,     13.89
  800.63,   2039.00,     15.35,      6.35,    150.12,     13.89
  798.76,   2059.00,     15.19,      6.28,    151.34,     13.88
  796.88,   2079.00,     15.01,      6.18,    152.24,     13.86
  795.01,   2099.00,     14.84,      6.08,    152.38,     13.85
  793.14,   2119.00,     14.67,      5.98,    152.84,     13.85
  791.28,   2139.00,     14.51,      5.89,    154.26,     13.71
  789.41,   2159.00,     14.37,      5.79,    156.01,     13.45
  787.56,   2179.00,     14.20,      5.66,    157.94,     13.18
  785.70,   2199.00,     14.06,      5.56,    159.18,     12.85
  783.85,   2219.00,     13.93,      5.51,    161.26,     12.58
  782.00,   2239.00,     13.83,      5.47,    163.41,     12.45
  780.16,   2259.00,     13.68,      5.38,    165.01,     12.39
  778.32,   2279.00,     13.54,      5.31,    165.70,     12.30
  776.48,   2299.00,     13.37,      5.20,    166.89,     12.14
  774.65,   2319.00,     13.24,      5.10,    168.10,     11.84
  772.82,   2339.00,     13.14,      5.00,    168.50,     11.34
  770.99,   2359.00,     12.98,      4.84,    169.49,     10.75
  769.17,   2379.00,     12.82,      4.68,    171.11,     10.26
  767.35,   2399.00,     12.64,      4.56,    171.54,      9.77
  765.53,   2419.00,     12.47,      4.49,    170.78,      9.46
  763.71,   2439.00,     12.27,      4.43,    168.48,      9.07
  761.90,   2459.00,     12.10,      4.34,    164.64,      8.80
  760.10,   2479.00,     11.93,      4.23,    159.37,      8.60
  758.29,   2499.00,     11.83,      4.15,    155.61,      8.51
  756.49,   2519.00,     11.72,      4.08,    154.04,      8.35
  754.69,   2539.00,     11.52,      3.98,    152.66,      8.14
  752.90,   2559.00,     11.30,      3.93,    151.41,      7.83
  751.11,   2579.00,     11.09,      3.93,    151.84,      7.55
  749.32,   2599.00,     10.89,      3.93,    152.16,      7.29
  747.53,   2619.00,     10.72,      3.92,    152.79,      7.08
  745.75,   2639.00,     10.58,      3.93,    153.07,      6.86
  743.97,   2659.00,     10.46,      4.00,    152.96,      6.70
  742.20,   2679.00,     10.32,      4.03,    152.46,      6.59
  740.42,   2699.00,     10.17,      3.89,    151.52,      6.54
  738.65,   2719.00,     10.05,      3.65,    150.95,      6.48
  736.89,   2739.00,     10.03,      3.42,    150.48,      6.43
  735.13,   2759.00,      9.98,      3.17,    148.94,      6.34
  733.37,   2779.00,      9.78,      2.88,    147.25,      6.23
  731.61,   2799.00,      9.59,      2.70,    147.55,      6.17
  729.86,   2819.00,      9.49,      2.56,    149.80,      6.20
  728.11,   2839.00,      9.39,      2.41,    151.77,      6.23
  726.37,   2859.00,      9.28,      2.31,    154.63,      6.32
  724.62,   2879.00,      9.16,      2.24,    156.17,      6.43
  722.89,   2899.00,      8.98,      2.13,    158.70,      6.41
  721.15,   2919.00,      8.79,      2.05,    159.98,      6.29
  719.42,   2939.00,      8.67,      2.02,    158.86,      6.10
  717.69,   2959.00,      8.49,      1.93,    156.02,      5.91
  715.96,   2979.00,      8.23,      1.78,    155.14,      5.76
  714.24,   2999.00,      8.03,      1.65,    155.00,      5.64
  712.52,   3019.00,      7.91,      1.55,    153.29,      5.58
  710.80,   3039.00,      7.79,      1.41,    152.71,      5.44
  709.09,   3059.00,      7.63,      1.22,    152.70,      5.32
  707.38,   3079.00,      7.46,      1.07,    152.90,      5.16
  705.67,   3099.00,      7.25,      0.94,    154.58,      5.04
  703.97,   3119.00,      7.05,      0.84,    155.48,      4.84
  702.27,   3139.00,      6.89,      0.77,    155.62,      4.57
  700.57,   3159.00,      6.65,      0.65,    158.99,      4.31
  698.87,   3179.00,      6.44,      0.58,    165.74,      3.98
  697.18,   3199.00,      6.27,      0.56,    172.28,      3.74
  695.49,   3219.00,      6.19,      0.59,    178.11,      3.34
  693.80,   3239.00,      6.15,      0.54,    187.35,      2.87
  692.12,   3259.00,      6.06,      0.38,    192.60,      2.43
  690.44,   3279.00,      5.89,      0.20,    183.04,      2.21
  688.76,   3299.00,      5.67,      0.05,    168.37,      2.25
  687.09,   3319.00,      5.55,     -0.01,    164.95,      2.33
  685.42,   3339.00,      5.46,     -0.09,    158.10,      2.14
  683.75,   3359.00,      5.36,     -0.20,    152.19,      1.82
  682.09,   3379.00,      5.23,     -0.35,    151.48,      1.41
  680.43,   3399.00,      5.08,     -0.50,    156.19,      0.91
  678.77,   3419.00,      4.82,     -0.77,    159.45,      0.51
  677.12,   3439.00,      4.66,     -0.89,    160.10,      0.29
  675.47,   3459.00,      4.64,     -0.91,    160.10,      0.22
  673.82,   3479.00,      4.55,     -1.06,    159.98,      0.23
  672.18,   3499.00,      4.28,     -1.36,    158.85,      0.24
  670.54,   3519.00,      4.10,     -1.55,    157.80,      0.42
  668.90,   3539.00,      3.99,     -1.82,    181.04,      0.89
  667.26,   3559.00,      3.93,     -2.14,    210.36,      1.34
  665.63,   3579.00,      3.84,     -2.32,    228.00,      1.87
  664.00,   3599.00,      3.75,     -2.34,    233.77,      2.10
  662.38,   3619.00,      3.59,     -2.40,    234.33,      2.14
  660.75,   3639.00,      3.51,     -2.51,    231.18,      1.91
  659.13,   3659.00,      3.43,     -2.66,    234.38,      1.93
  657.52,   3679.00,      3.40,     -2.81,    237.42,      1.99
  655.91,   3699.00,      3.24,     -3.09,    233.18,      2.26
  654.30,   3719.00,      2.91,     -3.55,    227.49,      2.55
  652.69,   3739.00,      2.63,     -3.89,    226.55,      2.75
  651.09,   3759.00,      2.51,     -3.99,    226.82,      2.79
  649.49,   3779.00,      2.43,     -4.03,    226.49,      2.88
  647.89,   3799.00,      2.29,     -4.10,    230.33,      3.00
  646.29,   3819.00,      2.13,     -4.27,    234.73,      3.13
  644.70,   3839.00,      1.94,     -4.75,    240.07,      3.09
  643.11,   3859.00,      1.80,     -5.50,    249.16,      2.91
  641.53,   3879.00,      1.75,     -6.11,    248.57,      2.57
  639.94,   3899.00,      1.77,     -7.26,    222.37,      2.28
  638.37,   3919.00,      1.78,     -9.53,    180.84,      2.33
  636.79,   3939.00,      1.75,    -12.18,    171.34,      2.63
  635.22,   3959.00,      1.77,    -15.05,    166.62,      2.98
  633.65,   3979.00,      1.88,    -17.62,    165.70,      3.13
  632.09,   3999.00,      1.92,    -18.95,    165.38,      3.19
  630.53,   4019.00,      1.92,    -19.14,    164.93,      3.23
  628.97,   4039.00,      1.83,    -18.77,    164.83,      3.32
  627.41,   4059.00,      1.74,    -18.35,    162.07,      3.40
  625.86,   4079.00,      1.64,    -18.02,    163.38,      3.56
  624.32,   4099.00,      1.54,    -17.81,    168.53,      3.69
  622.77,   4119.00,      1.35,    -17.76,    173.06,      3.75
  621.23,   4139.00,      1.13,    -17.72,    176.57,      3.70
  619.70,   4159.00,      1.03,    -17.54,    178.74,      3.54
  618.16,   4179.00,      1.03,    -17.30,    178.55,      3.23
  616.63,   4199.00,      1.06,    -17.11,    172.79,      2.83
  615.10,   4219.00,      0.93,    -17.32,    175.07,      2.52
  613.58,   4239.00,      0.89,    -17.59,    183.55,      2.30
  612.06,   4259.00,      0.93,    -17.85,    186.13,      2.11
  610.54,   4279.00,      0.93,    -18.44,    179.11,      1.91
  609.03,   4299.00,      0.83,    -19.20,    170.12,      1.71
  607.52,   4319.00,      0.85,    -19.92,    139.93,      1.63
  606.01,   4339.00,      0.82,    -20.72,     91.38,      1.77
  604.51,   4359.00,      0.66,    -21.33,     63.45,      2.11
  603.01,   4379.00,      0.45,    -21.94,     66.08,      2.49
  601.51,   4399.00,      0.35,    -22.50,     69.35,      2.85
  600.02,   4419.00,      0.18,    -23.07,     72.12,      3.18
  598.53,   4439.00,      0.01,    -23.49,     73.88,      3.53
  597.04,   4459.00,     -0.08,    -23.80,     76.57,      3.92
  595.55,   4479.00,     -0.02,    -24.28,     76.50,      4.19
  594.07,   4499.00,     -0.01,    -25.02,     76.51,      4.66
  592.59,   4519.00,     -0.18,    -26.25,     75.28,      5.27
  591.12,   4539.00,     -0.49,    -27.67,     77.26,      5.99
  589.65,   4559.00,     -0.66,    -28.58,     82.59,      6.65
  588.18,   4579.00,     -0.73,    -29.21,     86.85,      7.08
  586.71,   4599.00,     -0.76,    -29.68,     89.33,      7.35
  585.25,   4619.00,     -0.81,    -29.98,     90.46,      7.80
  583.79,   4639.00,     -0.85,    -30.28,     90.77,      8.32
  582.33,   4659.00,     -0.87,    -30.60,     91.67,      8.84
  580.88,   4679.00,     -0.92,    -30.93,     92.75,      9.41
  579.43,   4699.00,     -1.00,    -31.33,     93.42,      9.72
  577.98,   4719.00,     -1.01,    -31.66,     93.63,      9.75
  576.54,   4739.00,     -1.00,    -31.93,     93.21,      9.47
  575.10,   4759.00,     -1.08,    -32.41,     92.54,      9.20
  573.66,   4779.00,     -1.11,    -32.72,     92.07,      8.96
  572.23,   4799.00,     -1.16,    -32.91,     94.07,      8.88
  570.80,   4819.00,     -1.37,    -33.24,     96.45,      8.77
  569.37,   4839.00,     -1.71,    -33.59,     96.25,      8.57
  567.94,   4859.00,     -1.73,    -33.63,     94.20,      8.09
  566.52,   4879.00,     -1.83,    -33.73,     92.86,      7.60
  565.10,   4899.00,     -2.04,    -33.89,     91.38,      7.27
  563.69,   4919.00,     -2.20,    -33.92,     90.63,      7.15
  562.27,   4939.00,     -2.29,    -33.80,     89.47,      7.44
  560.86,   4959.00,     -2.43,    -33.78,     87.64,      7.85
  559.46,   4979.00,     -2.53,    -33.81,     85.13,      8.45
%END%
