# Radiation correction v2.4. Params: lat=43.0220, lon=-87.7413, utc_time=2023-06-01 14:15
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 988.23, 17.74, 71.5, 4.44, 150.6
40, 985.94, 19.26, 67.3, 4.79, 160.0
60, 983.67, 20.54, 62.5, 5.04, 167.2
80, 981.41, 21.68, 58.1, 5.26, 167.7
100, 979.17, 22.61, 54.3, 5.36, 164.6
120, 976.93, 23.22, 52.1, 5.27, 162.8
140, 974.71, 23.63, 51.3, 5.22, 162.3
160, 972.49, 23.88, 51.0, 5.25, 160.9
180, 970.28, 23.98, 50.5, 5.33, 159.0
200, 968.08, 24.03, 50.5, 5.42, 156.7
220, 965.88, 24.06, 50.8, 5.50, 152.2
240, 963.68, 24.13, 50.5, 5.51, 144.5
260, 961.49, 24.21, 49.6, 5.44, 138.6
280, 959.31, 24.45, 48.0, 5.30, 131.7
300, 957.13, 24.72, 46.2, 5.12, 124.9
320, 954.96, 24.81, 45.3, 4.86, 120.2
340, 952.79, 24.74, 45.3, 4.62, 115.5
360, 950.63, 24.68, 45.4, 4.34, 111.7
380, 948.47, 24.63, 45.4, 4.03, 108.2
400, 946.32, 24.61, 45.2, 3.62, 105.4
420, 944.17, 24.59, 44.8, 3.16, 104.4
440, 942.02, 24.59, 44.6, 2.86, 107.1
460, 939.87, 24.52, 44.6, 2.79, 108.7
480, 937.74, 24.41, 44.7, 2.93, 109.7
500, 935.61, 24.27, 45.0, 3.12, 111.3
520, 933.48, 24.12, 45.4, 3.32, 113.2
540, 931.35, 23.97, 45.9, 3.45, 114.5
560, 929.24, 23.84, 46.2, 3.52, 116.2
580, 927.12, 23.73, 46.4, 3.56, 118.3
600, 925.01, 23.57, 46.6, 3.59, 121.2
620, 922.90, 23.41, 46.7, 3.62, 123.8
640, 920.80, 23.22, 46.8, 3.68, 126.7
660, 918.69, 22.94, 47.3, 3.75, 129.0
680, 916.60, 22.73, 48.0, 3.81, 131.2
700, 914.50, 22.67, 48.3, 3.81, 133.8
720, 912.41, 22.59, 48.4, 3.74, 137.4
740, 910.33, 22.48, 48.5, 3.59, 140.3
760, 908.25, 22.37, 48.4, 3.42, 142.3
780, 906.17, 22.28, 48.0, 3.22, 142.7
800, 904.09, 22.12, 47.8, 3.08, 144.1
820, 902.02, 22.00, 48.0, 2.99, 148.4
840, 899.96, 21.87, 48.2, 3.03, 155.8
860, 897.89, 21.78, 48.3, 3.15, 160.9
880, 895.83, 21.69, 48.4, 3.32, 163.7
900, 893.78, 21.61, 48.4, 3.50, 165.7
920, 891.73, 21.55, 48.5, 3.72, 166.6
940, 889.68, 21.42, 49.0, 3.87, 168.4
960, 887.64, 21.31, 49.6, 4.01, 171.7
980, 885.60, 21.22, 50.0, 4.11, 175.3
1000, 883.57, 21.13, 50.3, 4.24, 178.7
1020, 881.54, 21.03, 50.6, 4.39, 180.9
1040, 879.51, 20.93, 50.6, 4.52, 182.5
1060, 877.49, 20.86, 50.3, 4.54, 182.7
1080, 875.47, 20.83, 49.9, 4.46, 181.7
1100, 873.46, 20.82, 49.4, 4.26, 178.9
1120, 871.45, 20.77, 48.9, 4.06, 173.2
1140, 869.45, 20.69, 48.9, 3.91, 166.2
1160, 867.44, 20.58, 49.2, 3.83, 160.7
1180, 865.45, 20.42, 49.6, 3.84, 156.4
1200, 863.45, 20.26, 49.7, 3.90, 153.3
1220, 861.46, 20.12, 49.6, 3.97, 151.1
1240, 859.48, 19.99, 49.4, 4.01, 149.2
1260, 857.49, 19.81, 49.5, 4.04, 147.8
1280, 855.51, 19.63, 49.7, 4.06, 146.8
1300, 853.54, 19.46, 50.0, 4.12, 143.7
1320, 851.56, 19.27, 50.2, 4.20, 140.3
1340, 849.59, 19.13, 50.4, 4.32, 139.6
1360, 847.63, 18.99, 50.6, 4.39, 138.6
1380, 845.67, 18.84, 50.8, 4.49, 136.7
1400, 843.71, 18.62, 51.2, 4.56, 134.7
1420, 841.75, 18.41, 51.5, 4.63, 133.5
