# Radiation correction v2.4. Params: lat=43.0214, lon=-87.4032, utc_time=2023-06-01 16:12
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 989.15, 19.43, 65.3, 3.61, 153.1
40, 986.86, 19.10, 70.4, 3.92, 173.8
60, 984.58, 19.78, 71.0, 4.23, 193.3
80, 982.32, 20.57, 69.0, 4.64, 198.2
100, 980.06, 21.59, 65.7, 4.94, 194.8
120, 977.82, 22.61, 62.0, 5.00, 187.8
140, 975.59, 23.08, 60.2, 4.84, 180.8
160, 973.37, 23.62, 58.3, 4.66, 169.7
180, 971.16, 24.29, 55.8, 4.52, 159.5
200, 968.96, 24.78, 53.2, 4.61, 152.3
220, 966.77, 25.11, 50.8, 4.79, 150.4
240, 964.58, 25.32, 48.8, 5.04, 151.1
260, 962.40, 25.49, 46.5, 5.28, 150.8
280, 960.22, 25.62, 44.5, 5.46, 147.0
300, 958.05, 25.62, 43.7, 5.46, 143.2
320, 955.88, 25.49, 44.1, 5.32, 140.6
340, 953.71, 25.38, 44.5, 5.14, 137.6
360, 951.56, 25.39, 44.6, 4.91, 135.8
380, 949.40, 25.46, 44.5, 4.58, 136.1
400, 947.26, 25.48, 44.4, 4.36, 140.1
420, 945.11, 25.44, 44.4, 4.29, 141.1
440, 942.96, 25.39, 44.4, 4.26, 141.8
460, 940.82, 25.30, 44.3, 4.25, 142.3
480, 938.69, 25.20, 44.3, 4.28, 143.2
500, 936.56, 25.08, 44.2, 4.31, 144.6
520, 934.44, 24.97, 44.2, 4.35, 146.1
540, 932.32, 24.85, 44.3, 4.41, 147.9
560, 930.21, 24.71, 44.6, 4.40, 149.2
580, 928.09, 24.57, 44.8, 4.37, 148.7
600, 925.99, 24.42, 45.1, 4.31, 147.2
620, 923.88, 24.30, 45.2, 4.24, 146.2
640, 921.79, 24.22, 45.3, 4.17, 145.2
660, 919.69, 24.16, 45.4, 4.14, 143.7
680, 917.60, 24.07, 45.3, 4.03, 146.5
700, 915.51, 23.95, 45.3, 3.97, 147.6
720, 913.43, 23.82, 45.5, 3.95, 146.5
