# Radiation correction v2.4. Params: lat=43.0227, lon=-87.4069, utc_time=2023-06-01 16:59
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 996.64, 18.03, 76.5, 5.44, 130.6
40, 994.33, 18.93, 75.1, 5.06, 137.4
60, 992.04, 19.83, 72.5, 4.84, 152.4
80, 989.76, 20.85, 69.7, 4.61, 170.5
100, 987.49, 22.03, 66.4, 4.60, 180.2
120, 985.24, 22.93, 63.2, 4.71, 177.9
140, 982.99, 23.57, 60.3, 4.82, 170.0
160, 980.76, 24.02, 58.2, 5.02, 162.8
180, 978.53, 24.32, 57.0, 5.16, 158.4
200, 976.31, 24.64, 55.3, 5.18, 151.6
220, 974.10, 24.82, 54.0, 5.18, 147.2
240, 971.90, 24.94, 53.0, 5.09, 147.9
260, 969.70, 25.05, 52.5, 5.02, 151.3
280, 967.50, 25.17, 52.2, 5.10, 155.9
300, 965.31, 25.24, 51.8, 5.17, 158.5
320, 963.13, 25.31, 50.1, 5.22, 158.0
340, 960.95, 25.39, 46.9, 5.18, 155.6
360, 958.77, 25.51, 43.9, 5.11, 154.8
380, 956.60, 25.51, 42.0, 5.04, 154.2
400, 954.44, 25.43, 41.2, 5.04, 154.3
420, 952.27, 25.33, 41.3, 5.00, 153.4
440, 950.12, 25.22, 42.3, 4.96, 151.1
460, 947.96, 25.11, 43.6, 4.86, 150.6
480, 945.82, 24.96, 44.3, 4.71, 152.3
500, 943.67, 24.81, 44.4, 4.62, 154.7
520, 941.53, 24.66, 44.2, 4.59, 156.2
540, 939.39, 24.56, 44.0, 4.56, 155.8
560, 937.26, 24.46, 44.2, 4.50, 155.5
580, 935.13, 24.38, 44.5, 4.51, 156.0
600, 933.00, 24.30, 44.7, 4.57, 157.1
620, 930.88, 24.14, 44.8, 4.67, 157.8
640, 928.76, 24.06, 45.2, 4.81, 158.6
660, 926.65, 24.00, 45.7, 5.00, 158.2
680, 924.54, 23.81, 46.7, 5.08, 158.0
700, 922.43, 23.63, 47.0, 5.13, 158.2
720, 920.33, 23.48, 46.8, 5.13, 158.3
740, 918.23, 23.33, 46.4, 5.14, 157.8
760, 916.14, 23.19, 46.2, 5.13, 158.1
780, 914.05, 23.05, 46.4, 5.16, 158.3
800, 911.96, 22.99, 46.6, 5.16, 157.7
820, 909.88, 22.99, 46.8, 5.16, 157.6
