UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:07:58, 183, 0, 99008,  ,  , 24.81, 56.45,  ,  ,  , 
20:07:59, 183, 0, 99007,  ,  , 24.79, 56.60,  ,  ,  , 
20:08:00, 183, 0, 99006,  ,  , 24.79, 56.95,  ,  ,  , 
20:08:01, 183, 0, 99005,  ,  , 24.80, 57.15,  ,  ,  , 
20:08:02, 183, 0, 99004,  ,  , 24.81, 57.65,  ,  ,  , 
20:08:03, 183, 0, 99004,  ,  , 24.83, 57.95,  ,  ,  , 
20:08:04, 183, 0, 99005,  ,  , 24.86, 58.20,  ,  ,  , 
20:08:05, 183, 0, 99006,  ,  , 24.86, 58.90,  ,  ,  , 
20:08:06, 183, 0, 99008,  ,  , 24.87, 59.25,  ,  ,  , 
20:08:07, 183, 0, 99005,  ,  , 24.91, 59.40,  ,  ,  , 
20:08:08, 183, 0, 99003,  ,  , 24.94, 59.45,  ,  ,  , 
20:08:09, 183, 0, 99002,  ,  , 24.97, 59.25,  ,  ,  , 
20:08:10, 183, 0, 99003,  ,  , 25.00, 59.15,  ,  ,  , 0
20:08:11, 183, 0, 99004,  ,  , 25.04, 59.55,  ,  ,  , 0
20:08:12, 183, 0, 99006,  ,  , 25.07, 59.65,  ,  ,  , 0
20:08:13, 183, 0, 99006,  ,  , 25.09, 59.40,  ,  ,  , 0
20:08:14, 183, 0, 99006,  ,  , 25.11, 58.95,  ,  ,  , 0
20:08:15, 183, 0, 99006,  ,  , 25.12, 58.60,  ,  ,  , 0
20:08:16, 183, 0, 99006,  ,  , 25.13, 58.25,  ,  ,  , 0
20:08:17, 183, 0, 99006,  ,  , 25.14, 57.75,  ,  ,  , 0
20:08:18, 183, 0, 99006,  ,  , 25.16, 57.95,  ,  ,  , 0
20:08:19, 183, 0, 99006,  ,  , 25.16, 57.70,  ,  ,  , 0
20:08:20, 183, 0, 99007,  ,  , 25.16, 57.20,  ,  ,  , 0
20:08:21, 183, 0, 99008,  ,  , 25.15, 56.75, 25.2,  ,  , 0
20:08:22, 183, 0, 99008,  ,  , 25.14, 56.45,  ,  ,  , 0
20:08:23, 183, 0, 99008,  ,  , 25.13, 56.35,  ,  ,  , 0
20:08:24, 183, 0, 99008,  ,  , 25.11, 56.25,  ,  ,  , 0
20:08:25, 182, 0, 99010,  ,  , 25.08, 55.90,  ,  ,  , 0
20:08:26, 182, 0, 99013,  ,  , 25.07, 55.85,  ,  ,  , -0.1
20:08:27, 182, 0, 99016,  ,  , 25.14, 55.95,  ,  ,  , -0.1
20:08:28, 182, 0, 99015,  ,  , 25.06, 55.60,  ,  ,  , -0.1
20:08:29, 182, 0, 99014,  ,  , 25.07, 55.15,  ,  ,  , -0.1
20:08:30, 182, 0, 99014,  ,  , 25.01, 54.75,  ,  ,  , -0.1
20:08:31, 182, 0, 99019,  ,  , 24.87, 54.50,  ,  ,  , -0.1
20:08:32, 181, -1, 99024,  ,  , 24.74, 54.40,  ,  ,  , -0.1
20:08:33, 181, -1, 99030,  ,  , 24.56, 54.30,  ,  ,  , -0.2
20:08:34, 181, -1, 99025,  ,  , 24.24, 54.35,  ,  ,  , -0.1
20:08:35, 182, 0, 99020,  ,  , 23.94, 54.55,  ,  ,  , -0.1
20:08:36, 182, 0, 99016,  ,  , 23.69, 54.80,  ,  ,  , -0.1
20:08:37, 182, 0, 99016,  ,  , 23.50, 55.20,  ,  ,  , 0
20:08:38, 182, 0, 99017,  ,  , 23.42, 55.65,  ,  ,  , 0
20:08:39, 182, 0, 99018,  ,  , 23.38, 56.20,  ,  ,  , 0
20:08:40, 182, 0, 99020,  ,  , 23.35, 56.65,  ,  ,  , 0
20:08:41, 181, -1, 99022,  ,  , 23.21, 57.30,  ,  ,  , -0.1
20:08:42, 181, -1, 99024,  ,  , 23.00, 57.65,  ,  ,  , -0.1
20:08:43, 181, -1, 99026,  ,  , 22.71, 57.95,  ,  ,  , -0.1
20:08:44, 181, -1, 99029,  ,  , 22.56, 58.35,  ,  ,  , 0
20:08:45, 181, -1, 99032,  ,  , 22.42, 58.70,  ,  ,  , 0
20:08:46, 180, -2, 99033,  ,  , 22.27, 59.05,  ,  ,  , -0.1
20:08:47, 180, -2, 99035,  ,  , 22.30, 59.55,  ,  ,  , -0.1
