# Radiation correction v2.4. Params: lat=43.0222, lon=-87.6344, utc_time=2023-06-01 14:52
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 988.72, 18.45, 72.7, 4.73, 157.5
40, 986.44, 19.59, 71.2, 4.92, 164.8
60, 984.17, 21.33, 65.6, 5.06, 170.4
80, 981.92, 22.89, 59.6, 5.24, 172.5
100, 979.69, 23.51, 56.7, 5.26, 173.6
120, 977.46, 23.78, 55.3, 5.19, 173.4
140, 975.24, 23.99, 54.1, 5.02, 167.0
160, 973.02, 24.20, 53.1, 4.76, 157.3
180, 970.81, 24.29, 53.1, 4.53, 153.5
200, 968.60, 24.39, 52.7, 4.51, 147.1
220, 966.41, 24.45, 51.5, 4.56, 142.0
240, 964.21, 24.49, 49.9, 4.63, 138.0
260, 962.03, 24.49, 49.1, 4.71, 136.0
280, 959.84, 24.50, 49.3, 4.87, 134.9
300, 957.67, 24.60, 48.8, 4.86, 135.0
320, 955.49, 24.65, 48.2, 4.77, 133.3
340, 953.33, 24.67, 48.0, 4.67, 131.1
360, 951.16, 24.69, 47.9, 4.60, 130.6
380, 949.01, 24.72, 47.6, 4.44, 130.4
400, 946.85, 24.68, 47.4, 4.36, 129.5
420, 944.70, 24.59, 47.5, 4.22, 128.7
440, 942.56, 24.49, 47.8, 4.11, 132.0
460, 940.42, 24.35, 48.1, 4.05, 135.4
480, 938.28, 24.20, 48.6, 4.12, 138.9
500, 936.15, 24.06, 49.0, 4.27, 141.1
520, 934.02, 23.93, 49.3, 4.52, 146.8
540, 931.90, 23.86, 49.1, 4.66, 151.5
560, 929.78, 23.82, 49.7, 4.69, 154.5
580, 927.66, 23.75, 51.5, 4.66, 155.1
600, 925.55, 23.67, 52.7, 4.66, 153.3
620, 923.45, 23.58, 52.8, 4.63, 151.8
640, 921.35, 23.41, 52.8, 4.64, 150.5
660, 919.25, 23.27, 52.7, 4.66, 149.0
680, 917.15, 23.17, 52.6, 4.56, 147.7
700, 915.06, 23.02, 52.5, 4.50, 147.9
720, 912.97, 22.89, 52.4, 4.48, 148.4
740, 910.89, 22.76, 52.3, 4.49, 147.1
760, 908.81, 22.60, 52.2, 4.49, 143.8
780, 906.73, 22.50, 52.0, 4.53, 141.7
800, 904.66, 22.40, 51.7, 4.50, 140.7
820, 902.59, 22.26, 51.4, 4.39, 140.3
840, 900.53, 22.09, 51.5, 4.26, 140.1
860, 898.47, 21.95, 51.7, 4.16, 140.5
880, 896.41, 21.80, 52.0, 4.08, 142.3
900, 894.36, 21.62, 52.4, 3.95, 144.7
920, 892.31, 21.39, 52.9, 3.78, 145.9
940, 890.26, 21.24, 53.2, 3.63, 144.8
960, 888.21, 21.17, 53.3, 3.48, 144.4
980, 886.17, 21.01, 53.5, 3.42, 144.8
1000, 884.14, 20.84, 53.8, 3.49, 145.8
1020, 882.10, 20.68, 54.2, 3.57, 145.1
1040, 880.07, 20.49, 54.8, 3.60, 145.0
1060, 878.05, 20.28, 55.3, 3.60, 144.6
1080, 876.03, 20.10, 55.8, 3.58, 143.3
1100, 874.01, 19.99, 56.2, 3.52, 143.5
1120, 871.99, 19.91, 56.5, 3.47, 145.6
1140, 869.98, 19.79, 56.8, 3.41, 147.8
1160, 867.97, 19.63, 57.3, 3.38, 150.8
1180, 865.97, 19.50, 57.6, 3.37, 151.2
1200, 863.97, 19.43, 57.7, 3.35, 149.8
1220, 861.97, 19.32, 57.3, 3.33, 144.7
1240, 859.98, 19.18, 56.6, 3.41, 138.9
1260, 857.99, 19.07, 55.7, 3.48, 133.1
1280, 856.01, 18.99, 55.4, 3.54, 130.4
1300, 854.03, 18.84, 55.5, 3.62, 127.2
1320, 852.05, 18.64, 55.8, 3.65, 124.9
1340, 850.08, 18.49, 55.9, 3.69, 124.0
1360, 848.11, 18.35, 56.1, 3.77, 124.3
1380, 846.14, 18.24, 56.2, 3.82, 125.1
1400, 844.18, 18.08, 56.3, 3.91, 127.6
1420, 842.22, 17.82, 56.6, 4.01, 127.7
1440, 840.26, 17.63, 56.9, 4.14, 126.1
1460, 838.30, 17.46, 57.0, 4.27, 124.4
1480, 836.35, 17.28, 57.3, 4.47, 126.0
1500, 834.41, 17.01, 58.0, 4.55, 127.5
1520, 832.46, 16.84, 58.5, 4.68, 127.5
1540, 830.52, 16.80, 58.5, 4.82, 127.2
1560, 828.59, 16.74, 58.4, 4.89, 128.1
1580, 826.65, 16.68, 58.3, 4.99, 129.6
1600, 824.72, 16.52, 58.5, 5.04, 129.7
1620, 822.80, 16.29, 59.0, 5.03, 127.5
1640, 820.87, 16.12, 59.6, 4.99, 126.2
1660, 818.95, 16.04, 59.6, 5.00, 126.2
1680, 817.04, 15.76, 59.6, 4.97, 128.4
1700, 815.12, 15.50, 59.8, 4.95, 129.4
1720, 813.22, 15.41, 59.7, 4.94, 130.3
1740, 811.31, 15.39, 59.0, 4.93, 131.0
1760, 809.41, 15.29, 58.1, 4.91, 131.4
1780, 807.51, 15.13, 58.0, 4.87, 132.2
1800, 805.62, 14.97, 58.3, 4.84, 133.6
1820, 803.72, 14.86, 58.6, 4.82, 135.1
1840, 801.84, 14.73, 58.5, 4.82, 137.1
1860, 799.95, 14.59, 58.2, 4.83, 137.8
1880, 798.07, 14.47, 57.8, 4.84, 138.1
1900, 796.19, 14.30, 57.1, 4.83, 137.4
1920, 794.32, 14.13, 56.7, 4.84, 136.5
1940, 792.45, 14.06, 56.7, 4.88, 135.7
1960, 790.58, 13.97, 56.7, 4.85, 136.9
1980, 788.72, 13.86, 57.1, 4.82, 138.5
2000, 786.86, 13.67, 58.2, 4.72, 139.9
2020, 785.00, 13.52, 59.3, 4.63, 141.5
2040, 783.15, 13.34, 59.9, 4.57, 143.3
2060, 781.29, 13.14, 60.4, 4.49, 145.9
2080, 779.45, 12.87, 61.0, 4.37, 146.1
2100, 777.60, 12.70, 61.8, 4.19, 146.3
2120, 775.76, 12.62, 62.2, 4.06, 146.2
2140, 773.92, 12.54, 62.2, 3.78, 145.7
2160, 772.09, 12.33, 62.5, 3.74, 142.9
2180, 770.26, 12.16, 62.9, 3.66, 143.5
2200, 768.43, 11.97, 63.2, 3.64, 145.5
2220, 766.60, 11.65, 63.9, 3.63, 146.2
2240, 764.78, 11.41, 64.7, 3.65, 144.5
2260, 762.96, 11.22, 65.3, 3.57, 145.8
2280, 761.15, 11.11, 65.7, 3.56, 146.7
2300, 759.33, 11.06, 65.6, 3.52, 144.9
2320, 757.53, 11.02, 65.4, 3.43, 141.3
2340, 755.72, 10.89, 65.2, 3.33, 138.6
2360, 753.92, 10.81, 64.8, 3.22, 137.5
2380, 752.12, 10.67, 63.7, 3.13, 137.7
2400, 750.33, 10.42, 62.8, 3.11, 135.1
2420, 748.54, 10.22, 62.9, 3.11, 130.9
2440, 746.75, 10.08, 63.9, 3.04, 128.9
2460, 744.96, 10.03, 64.6, 3.02, 130.4
2480, 743.18, 9.96, 65.0, 3.04, 129.8
2500, 741.40, 9.72, 65.5, 3.00, 132.7
2520, 739.63, 9.47, 65.8, 2.90, 134.7
2540, 737.86, 9.31, 65.4, 2.72, 136.0
2560, 736.09, 9.21, 64.1, 2.48, 133.3
2580, 734.32, 9.01, 62.3, 2.20, 136.7
2600, 732.56, 8.85, 61.2, 2.11, 137.0
2620, 730.80, 8.70, 61.2, 2.10, 135.3
2640, 729.04, 8.52, 63.0, 2.18, 134.0
2660, 727.29, 8.34, 65.4, 2.17, 134.1
2680, 725.54, 8.24, 66.6, 2.23, 129.2
2700, 723.79, 8.10, 66.0, 2.24, 125.0
2720, 722.05, 7.90, 65.6, 2.31, 126.1
2740, 720.31, 7.83, 65.9, 2.35, 128.4
2760, 718.57, 7.78, 66.2, 2.52, 132.7
2780, 716.84, 7.56, 66.6, 2.60, 135.5
2800, 715.11, 7.30, 67.3, 2.69, 135.1
2820, 713.38, 7.26, 67.5, 2.62, 132.7
2840, 711.66, 7.32, 66.9, 2.59, 131.7
2860, 709.95, 7.23, 66.2, 2.49, 130.4
2880, 708.23, 7.07, 66.1, 2.40, 129.2
2900, 706.52, 6.87, 66.4, 2.32, 127.6
2920, 704.81, 6.67, 66.9, 2.27, 128.3
2940, 703.10, 6.47, 67.4, 2.18, 130.0
2960, 701.40, 6.28, 67.9, 2.08, 132.0
2980, 699.70, 6.14, 67.9, 1.95, 134.9
3000, 698.00, 6.09, 67.4, 1.85, 132.6
