UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:52:06, 184, 0, 99696,  ,  , 24.52, 61.00,  ,  ,  , 
20:52:07, 184, 0, 99692,  ,  , 24.55, 61.50,  ,  ,  , 
20:52:08, 184, 0, 99692,  ,  , 24.56, 61.95,  ,  ,  , 
20:52:09, 184, 0, 99692,  ,  , 24.57, 61.80,  ,  ,  , 
20:52:10, 184, 0, 99692,  ,  , 24.57, 61.50,  ,  ,  , 
20:52:11, 184, 0, 99692,  ,  , 24.58, 60.95,  ,  ,  , 
20:52:12, 184, 0, 99693,  ,  , 24.58, 60.70,  ,  ,  , 
20:52:13, 184, 0, 99694,  ,  , 24.58, 60.40, 26.5,  ,  , 
20:52:14, 184, 0, 99692,  ,  , 24.56, 59.90,  ,  ,  , 
20:52:15, 184, 0, 99691,  ,  , 24.55, 59.55,  ,  ,  , 
20:52:16, 184, 0, 99690,  ,  , 24.53, 59.45,  ,  ,  , 
20:52:17, 184, 0, 99690,  ,  , 24.52, 59.55,  ,  ,  , 
20:52:18, 184, 0, 99691,  ,  , 24.50, 59.55,  ,  ,  , 
20:52:19, 184, 0, 99692,  ,  , 24.48, 59.60,  ,  ,  , 0
20:52:20, 184, 0, 99691,  ,  , 24.47, 59.70,  ,  ,  , 0
20:52:21, 184, 0, 99690,  ,  , 24.48, 60.20,  ,  ,  , 0
20:52:22, 184, 0, 99690,  ,  , 24.48, 60.40,  ,  ,  , 0
20:52:22, 183, 0, 99699,  ,  , 24.51, 60.25,  ,  ,  , -0.1
20:52:23, 182, -1, 99710,  ,  , 24.56, 60.20,  ,  ,  , -0.1
20:52:24, 181, -2, 99722,  ,  , 24.65, 60.00,  ,  ,  , -0.2
20:52:25, 182, -1, 99719,  ,  , 24.75, 59.40,  ,  ,  , -0.2
20:52:26, 182, -1, 99716,  ,  , 24.83, 58.90,  ,  ,  , -0.2
20:52:27, 182, -1, 99714,  ,  , 24.91, 58.40,  ,  ,  , -0.2
20:52:28, 182, -1, 99714,  ,  , 24.98, 58.05,  ,  ,  , -0.2
20:52:29, 182, -1, 99714,  ,  , 25.06, 58.10,  ,  ,  , -0.2
20:52:30, 182, -1, 99714,  ,  , 25.13, 58.10,  ,  ,  , -0.2
20:52:31, 182, -1, 99710,  ,  , 25.20, 58.45,  ,  ,  , -0.1
20:52:32, 183, 0, 99706,  ,  , 25.25, 58.25,  ,  ,  , -0.1
20:52:33, 183, 0, 99702,  ,  , 25.30, 58.20,  ,  ,  , -0.1
20:52:34, 183, 0, 99703,  ,  , 25.36, 58.30,  ,  ,  , -0.1
20:52:35, 183, 0, 99704,  ,  , 25.43, 58.30,  ,  ,  , 0
20:52:36, 183, 0, 99706,  ,  , 25.52, 58.30,  ,  ,  , 0
20:52:37, 183, 0, 99704,  ,  , 25.61, 58.20,  ,  ,  , 0.1
