UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
14:04:51, 201, 0, 99052,  ,  , 20.25, 53.80,  ,  ,  , 
14:04:52, 201, 0, 99052,  ,  , 19.40, 55.10,  ,  ,  , 
14:04:53, 200, 0, 99056,  ,  , 19.09, 55.85,  ,  ,  , 
14:04:54, 200, 0, 99061,  ,  , 18.79, 56.50,  ,  ,  , 
14:04:55, 199, -1, 99066,  ,  , 18.47, 57.10,  ,  ,  , 
14:04:56, 200, 0, 99061,  ,  , 18.14, 57.65,  ,  ,  , 
14:04:57, 200, 0, 99056,  ,  , 17.88, 58.40,  ,  ,  , 
14:04:58, 201, 0, 99052,  ,  , 17.55, 59.15,  ,  ,  , 
14:04:59, 201, 0, 99052,  ,  , 17.31, 59.90,  ,  ,  , 
14:05:00, 201, 0, 99053,  ,  , 17.14, 60.65,  ,  ,  , 
14:05:01, 201, 0, 99054,  ,  , 17.06, 61.55,  ,  ,  , 
14:05:02, 200, 0, 99059,  ,  , 16.92, 62.35,  ,  ,  , 
14:05:03, 199, -1, 99065,  ,  , 16.74, 63.05,  ,  ,  , -0.1
14:05:04, 199, -1, 99072,  ,  , 16.63, 63.75,  ,  ,  , -0.1
14:05:05, 199, -1, 99075,  ,  , 16.51, 64.40,  ,  ,  , -0.2
14:05:06, 198, -2, 99079,  ,  , 16.41, 65.00,  ,  ,  , -0.2
14:05:07, 198, -2, 99084,  ,  , 16.38, 65.60,  ,  ,  , -0.2
14:05:08, 198, -2, 99079,  ,  , 16.32, 66.15,  ,  ,  , -0.1
14:05:09, 199, -1, 99074,  ,  , 16.25, 66.60,  ,  ,  , -0.1
14:05:10, 199, -1, 99070,  ,  , 16.19, 67.10,  ,  ,  , -0.1
14:05:11, 199, -1, 99068,  ,  , 16.10, 67.55,  ,  ,  , -0.1
14:05:12, 199, -1, 99066,  ,  , 16.07, 67.95,  ,  ,  , -0.1
14:05:13, 200, 0, 99064,  ,  , 16.06, 68.45, 23.5,  ,  , -0.1
14:05:14, 199, -1, 99066,  ,  , 16.07, 68.85,  ,  ,  , -0.1
14:05:15, 199, -1, 99069,  ,  , 16.08, 69.20,  ,  ,  , -0.1
14:05:16, 199, -1, 99072,  ,  , 16.07, 69.50,  ,  ,  , 0
14:05:17, 199, -1, 99072,  ,  , 16.09, 69.75,  ,  ,  , 0
14:05:18, 199, -1, 99072,  ,  , 16.09, 69.95,  ,  ,  , 0
14:05:19, 199, -1, 99072,  ,  , 16.06, 70.15,  ,  ,  , 0.1
14:05:20, 199, -1, 99075,  ,  , 16.00, 70.30,  ,  ,  , 0.1
14:05:21, 198, -2, 99078,  ,  , 15.97, 70.45,  ,  ,  , 0
14:05:22, 198, -2, 99082,  ,  , 15.91, 70.55,  ,  ,  , 0
14:05:23, 198, -2, 99080,  ,  , 15.81, 70.70,  ,  ,  , -0.1
14:05:24, 198, -2, 99079,  ,  , 15.72, 70.85,  ,  ,  , -0.1
14:05:25, 198, -2, 99078,  ,  , 15.62, 71.05,  ,  ,  , -0.1
14:05:26, 199, -1, 99075,  ,  , 15.55, 71.25,  ,  ,  , -0.1
14:05:27, 199, -1, 99072,  ,  , 15.51, 71.45,  ,  ,  , 0
14:05:28, 199, -1, 99070,  ,  , 15.48, 71.70,  ,  ,  , 0
14:05:29, 199, -1, 99073,  ,  , 15.45, 71.90,  ,  ,  , 0
14:05:30, 199, -1, 99076,  ,  , 15.43, 72.15,  ,  ,  , 0
14:05:31, 198, -2, 99080,  ,  , 15.46, 72.40,  ,  ,  , -0.1
14:05:32, 199, -1, 99076,  ,  , 15.55, 72.70,  ,  ,  , 0
14:05:33, 199, -1, 99072,  ,  , 15.66, 72.95,  ,  ,  , 0
14:05:34, 199, -1, 99068,  ,  , 15.77, 73.20,  ,  ,  , 0.1
14:05:34, 199, -1, 99069,  ,  , 15.89, 73.30,  ,  ,  , 0.1
14:05:35, 199, -1, 99071,  ,  , 15.99, 73.35,  ,  ,  , 0.1
14:05:36, 199, -1, 99074,  ,  , 16.09, 73.25,  ,  ,  , 0
14:05:37, 199, -1, 99074,  ,  , 16.20, 73.10,  ,  ,  , 0
14:05:38, 199, -1, 99074,  ,  , 16.29, 73.00,  ,  ,  , 0
14:05:39, 199, -1, 99074,  ,  , 16.37, 72.80, 23.0,  ,  , 0
14:05:40, 199, -1, 99074,  ,  , 16.44, 72.55,  ,  ,  , 0
14:05:41, 199, -1, 99075,  ,  , 16.49, 72.35,  ,  ,  , 0
14:05:42, 199, -1, 99076,  ,  , 16.53, 72.10,  ,  ,  , 0
14:05:43, 199, -1, 99074,  ,  , 16.56, 71.80,  ,  ,  , 0
14:05:44, 199, -1, 99072,  ,  , 16.59, 71.55,  ,  ,  , 0
14:05:45, 199, -1, 99070,  ,  , 16.64, 71.35,  ,  ,  , 0
14:05:46, 199, -1, 99071,  ,  , 16.65, 71.15,  ,  ,  , 0
14:05:47, 199, -1, 99072,  ,  , 16.65, 70.95,  ,  ,  , 0
14:05:48, 199, -1, 99074,  ,  , 16.65, 70.80,  ,  ,  , 0
14:05:49, 199, -1, 99074,  ,  , 16.65, 70.65,  ,  ,  , 0
14:05:50, 199, -1, 99074,  ,  , 16.65, 70.55,  ,  ,  , 0
14:05:51, 199, -1, 99074,  ,  , 16.68, 70.45,  ,  ,  , 0
14:05:52, 199, -1, 99072,  ,  , 16.72, 70.35,  ,  ,  , 0
14:05:53, 199, -1, 99071,  ,  , 16.73, 70.25,  ,  ,  , 0
14:05:54, 199, -1, 99070,  ,  , 16.72, 70.15,  ,  ,  , 0
14:05:55, 199, -1, 99069,  ,  , 16.72, 70.10,  ,  ,  , 0
14:05:56, 199, -1, 99068,  ,  , 16.74, 70.00,  ,  ,  , 0
14:05:57, 199, -1, 99068,  ,  , 16.73, 69.95,  ,  ,  , 0
14:05:58, 199, -1, 99069,  ,  , 16.72, 69.90,  ,  ,  , 0
14:05:59, 199, -1, 99070,  ,  , 16.69, 69.85,  ,  ,  , 0
14:06:00, 199, -1, 99072,  ,  , 16.68, 69.80,  ,  ,  , 0
14:06:01, 199, -1, 99070,  ,  , 16.72, 69.75,  ,  ,  , 0
14:06:02, 199, -1, 99068,  ,  , 16.73, 69.75,  ,  ,  , 0
14:06:03, 199, -1, 99066,  ,  , 16.74, 69.75,  ,  ,  , 0.1
14:06:04, 199, -1, 99072,  ,  , 16.65, 69.70,  ,  ,  , 0
14:06:05, 198, -2, 99079,  ,  , 16.52, 69.60,  ,  ,  , 0
14:06:06, 198, -2, 99086,  ,  , 16.46, 69.55, 22.5,  ,  , -0.1
14:06:13, 197, -3, 99089,  ,  , 15.59, 70.70,  ,  ,  , -0.1
14:06:14, 197, -3, 99089,  ,  , 15.50, 71.00,  ,  ,  , -0.1
14:06:15, 197, -3, 99090,  ,  , 15.43, 71.35,  ,  ,  , -0.1
14:06:15, 198, -2, 99088,  ,  , 15.34, 71.70,  ,  ,  , -0.2
14:06:16, 198, -2, 99086,  ,  , 15.26, 72.10,  ,  ,  , -0.1
14:06:17, 198, -2, 99084,  ,  , 15.25, 72.45,  ,  ,  , 0
14:06:22, 197, -3, 99098, 4.95, 93.70, 15.24, 73.55,  , 43.021853, -87.757162, -0.1
14:06:24, 197, -3, 99098, 4.95, 81.50, 15.20, 74.15,  ,  ,  , -0.1
