# Radiation correction v2.4. Params: lat=43.0218, lon=-87.8561, utc_time=2023-06-01 13:33
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 988.21, 17.00, 63.4, 1.66, 77.7
40, 985.91, 17.52, 63.7, 1.71, 102.2
60, 983.62, 18.38, 62.9, 2.03, 151.6
80, 981.34, 19.29, 61.2, 2.79, 176.3
100, 979.08, 20.43, 58.5, 3.59, 177.7
120, 976.83, 21.42, 55.4, 4.32, 174.4
140, 974.59, 22.13, 52.9, 4.92, 174.2
160, 972.36, 22.62, 51.1, 5.09, 174.9
180, 970.14, 22.81, 50.7, 4.99, 171.1
200, 967.93, 22.99, 50.5, 4.82, 164.4
220, 965.72, 23.25, 49.8, 4.66, 153.9
240, 963.52, 23.57, 48.6, 4.38, 142.1
260, 961.33, 23.80, 47.4, 4.06, 132.3
280, 959.14, 23.91, 46.7, 3.72, 125.1
300, 956.96, 23.92, 46.3, 3.37, 119.1
320, 954.78, 23.88, 46.1, 2.86, 112.1
340, 952.61, 23.84, 45.9, 2.13, 99.8
360, 950.44, 23.84, 45.6, 1.64, 82.7
380, 948.28, 23.88, 45.3, 1.09, 66.7
400, 946.12, 23.98, 44.9, 0.77, 47.3
420, 943.97, 24.05, 44.3, 0.63, 47.1
440, 941.82, 24.04, 44.1, 0.61, 65.2
460, 939.66, 24.01, 43.9, 0.51, 75.7
480, 937.52, 23.93, 43.9, 0.51, 73.1
500, 935.39, 23.80, 44.0, 0.47, 73.2
520, 933.25, 23.64, 44.2, 0.56, 85.6
540, 931.13, 23.49, 44.4, 0.88, 106.3
560, 929.01, 23.34, 44.6, 1.22, 122.9
580, 926.89, 23.21, 44.7, 1.50, 128.9
600, 924.77, 23.09, 44.9, 1.67, 130.3
620, 922.66, 22.92, 45.0, 1.69, 136.6
640, 920.55, 22.77, 45.3, 1.70, 140.1
660, 918.45, 22.62, 45.5, 1.74, 143.2
680, 916.35, 22.46, 45.7, 1.79, 145.2
700, 914.26, 22.32, 45.9, 1.87, 145.6
720, 912.16, 22.16, 46.1, 2.02, 144.8
740, 910.07, 22.01, 46.3, 2.26, 146.3
760, 907.99, 21.88, 46.4, 2.62, 148.2
780, 905.91, 21.75, 46.4, 2.98, 150.8
800, 903.83, 21.66, 46.3, 3.31, 152.2
820, 901.76, 21.57, 46.3, 3.50, 154.5
840, 899.69, 21.48, 46.2, 3.62, 157.8
860, 897.63, 21.41, 46.0, 3.64, 159.5
880, 895.56, 21.33, 45.9, 3.65, 160.2
900, 893.51, 21.21, 46.1, 3.65, 160.6
920, 891.46, 21.09, 46.2, 3.72, 161.9
940, 889.41, 20.99, 46.2, 3.85, 162.0
960, 887.36, 20.88, 46.4, 4.03, 161.3
980, 885.32, 20.72, 46.9, 4.20, 160.9
1000, 883.28, 20.56, 47.4, 4.33, 161.0
1020, 881.25, 20.43, 47.7, 4.51, 160.7
1040, 879.22, 20.25, 48.0, 4.71, 160.6
1060, 877.19, 20.08, 48.3, 4.86, 162.0
1080, 875.17, 19.93, 48.6, 4.99, 163.9
1100, 873.15, 19.79, 48.7, 5.07, 164.4
1120, 871.13, 19.63, 48.9, 5.06, 163.6
1140, 869.12, 19.50, 49.0, 5.03, 162.7
1160, 867.11, 19.36, 49.1, 4.97, 163.6
1180, 865.11, 19.22, 49.1, 4.90, 165.0
1200, 863.11, 19.16, 48.9, 4.85, 165.2
1220, 861.11, 19.07, 48.7, 4.79, 165.4
1240, 859.12, 18.93, 48.8, 4.73, 165.6
1260, 857.13, 18.79, 49.2, 4.65, 164.7
1280, 855.14, 18.65, 49.6, 4.59, 162.9
1300, 853.16, 18.48, 49.8, 4.55, 160.8
1320, 851.18, 18.34, 49.8, 4.58, 159.2
1340, 849.20, 18.20, 49.9, 4.59, 158.8
1360, 847.23, 18.01, 50.2, 4.67, 159.8
1380, 845.26, 17.82, 50.5, 4.71, 160.8
1400, 843.30, 17.71, 50.6, 4.71, 160.6
1420, 841.34, 17.58, 50.7, 4.67, 159.7
1440, 839.38, 17.37, 51.1, 4.62, 157.3
1460, 837.42, 17.20, 51.4, 4.54, 153.4
1480, 835.47, 17.07, 51.5, 4.45, 151.2
1500, 833.53, 16.89, 51.6, 4.37, 150.7
1520, 831.58, 16.71, 51.7, 4.30, 151.7
1540, 829.64, 16.53, 52.0, 4.28, 153.6
1560, 827.70, 16.29, 52.6, 4.30, 155.6
1580, 825.77, 16.12, 53.2, 4.31, 156.8
1600, 823.84, 15.95, 53.6, 4.34, 157.1
1620, 821.91, 15.78, 53.9, 4.32, 156.4
1640, 819.98, 15.63, 53.9, 4.30, 154.4
1660, 818.06, 15.47, 53.7, 4.30, 150.5
1680, 816.14, 15.34, 53.6, 4.26, 146.7
1700, 814.23, 15.20, 53.6, 4.24, 143.6
1720, 812.32, 14.99, 53.9, 4.24, 141.3
1740, 810.41, 14.78, 54.3, 4.25, 141.2
1760, 808.51, 14.59, 54.7, 4.28, 141.5
1780, 806.61, 14.42, 55.2, 4.38, 140.7
1800, 804.71, 14.21, 55.4, 4.45, 138.2
1820, 802.81, 14.07, 55.3, 4.51, 136.9
1840, 800.92, 13.96, 55.1, 4.54, 136.6
1860, 799.03, 13.80, 54.9, 4.56, 136.4
1880, 797.15, 13.65, 54.7, 4.66, 135.9
1900, 795.27, 13.48, 54.5, 4.78, 135.6
1920, 793.39, 13.33, 54.4, 4.89, 136.1
1940, 791.51, 13.21, 54.1, 4.98, 137.4
1960, 789.64, 13.12, 53.7, 5.06, 138.7
1980, 787.77, 12.89, 53.5, 5.14, 140.0
2000, 785.91, 12.65, 53.6, 5.26, 140.0
2020, 784.05, 12.52, 53.6, 5.37, 140.9
2040, 782.19, 12.39, 53.7, 5.42, 141.1
2060, 780.34, 12.25, 53.7, 5.46, 140.6
2080, 778.48, 12.08, 53.7, 5.46, 140.5
2100, 776.64, 11.92, 53.7, 5.39, 140.9
2120, 774.79, 11.75, 53.7, 5.31, 142.8
2140, 772.95, 11.61, 53.9, 5.19, 143.7
2160, 771.11, 11.48, 54.1, 5.01, 144.6
2180, 769.28, 11.35, 54.1, 4.85, 145.5
2200, 767.44, 11.22, 53.6, 4.68, 149.1
2220, 765.62, 11.10, 53.1, 4.46, 153.1
2240, 763.79, 10.99, 52.8, 4.22, 156.4
2260, 761.97, 10.85, 52.5, 4.00, 159.8
2280, 760.16, 10.76, 52.4, 3.74, 161.9
2300, 758.34, 10.64, 52.0, 3.60, 161.8
2320, 756.53, 10.51, 51.6, 3.51, 159.9
2340, 754.73, 10.44, 51.1, 3.40, 158.9
2360, 752.92, 10.38, 50.2, 3.31, 158.4
2380, 751.12, 10.28, 48.7, 3.18, 157.3
2400, 749.33, 10.17, 47.4, 3.00, 157.1
2420, 747.54, 10.05, 46.5, 2.80, 159.0
2440, 745.75, 9.91, 46.0, 2.64, 159.6
2460, 743.96, 9.77, 46.1, 2.55, 156.4
2480, 742.18, 9.63, 46.8, 2.55, 154.7
2500, 740.40, 9.49, 47.8, 2.58, 156.5
2520, 738.63, 9.34, 49.0, 2.65, 158.0
2540, 736.85, 9.14, 50.5, 2.76, 155.5
