# Radiation correction v2.4. Params: lat=43.0217, lon=-87.8572, utc_time=2023-06-01 20:12
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 987.82, 19.27, 69.9, 1.67, 100.3
40, 985.53, 18.27, 74.6, 2.54, 101.0
60, 983.25, 18.34, 76.4, 3.18, 103.9
80, 980.97, 18.90, 76.1, 4.01, 109.4
100, 978.71, 19.98, 73.5, 4.63, 112.6
120, 976.46, 21.30, 69.1, 4.91, 116.3
140, 974.23, 22.51, 63.4, 5.11, 114.2
160, 972.01, 23.74, 56.9, 5.41, 110.6
180, 969.80, 24.46, 53.0, 5.73, 108.9
200, 967.60, 24.81, 51.2, 5.97, 110.3
220, 965.41, 25.03, 49.5, 6.16, 111.5
240, 963.23, 25.20, 48.4, 6.33, 114.6
260, 961.05, 25.35, 48.1, 6.46, 119.4
280, 958.88, 25.43, 48.2, 6.54, 123.7
300, 956.71, 25.43, 48.7, 6.60, 126.5
320, 954.55, 25.43, 47.9, 6.65, 128.1
340, 952.39, 25.52, 45.6, 6.71, 129.2
360, 950.24, 25.66, 43.5, 6.72, 131.6
380, 948.09, 25.72, 43.2, 6.68, 134.4
400, 945.95, 25.72, 42.9, 6.61, 134.5
420, 943.81, 25.74, 42.1, 6.43, 133.7
440, 941.67, 25.80, 42.4, 6.22, 134.1
460, 939.55, 25.87, 43.7, 5.94, 135.7
480, 937.42, 25.91, 45.1, 5.71, 138.0
500, 935.30, 25.82, 45.4, 5.51, 139.4
520, 933.17, 25.71, 45.4, 5.42, 139.8
540, 931.06, 25.63, 45.3, 5.32, 141.2
560, 928.95, 25.58, 45.1, 5.19, 143.0
580, 926.85, 25.49, 45.0, 5.03, 144.6
600, 924.75, 25.37, 45.0, 4.93, 145.4
620, 922.66, 25.24, 45.1, 4.86, 146.5
640, 920.57, 25.06, 45.3, 4.78, 147.6
660, 918.48, 24.88, 45.3, 4.72, 149.3
680, 916.40, 24.76, 45.2, 4.67, 150.2
700, 914.32, 24.60, 45.0, 4.64, 150.4
720, 912.24, 24.44, 45.0, 4.63, 150.3
740, 910.17, 24.31, 45.1, 4.66, 150.2
760, 908.10, 24.18, 45.2, 4.71, 151.4
780, 906.04, 24.01, 45.4, 4.74, 151.8
800, 903.98, 23.83, 45.6, 4.77, 152.1
820, 901.92, 23.61, 46.1, 4.79, 152.7
840, 899.87, 23.43, 46.4, 4.76, 154.2
860, 897.81, 23.27, 46.7, 4.63, 155.7
880, 895.77, 23.05, 47.2, 4.43, 155.7
900, 893.72, 22.89, 47.7, 4.23, 156.2
920, 891.68, 22.77, 48.1, 3.98, 157.3
940, 889.64, 22.57, 48.7, 3.85, 158.5
960, 887.61, 22.43, 49.0, 3.71, 158.4
980, 885.58, 22.25, 49.3, 3.68, 157.8
1000, 883.55, 22.03, 49.8, 3.67, 159.6
1020, 881.53, 21.86, 50.3, 3.69, 160.9
1040, 879.51, 21.70, 50.7, 3.73, 162.4
1060, 877.50, 21.54, 51.0, 3.71, 162.3
1080, 875.48, 21.39, 51.3, 3.66, 162.6
1100, 873.47, 21.24, 51.4, 3.61, 163.6
1120, 871.47, 21.07, 51.3, 3.59, 163.0
1140, 869.47, 20.87, 51.4, 3.55, 162.6
1160, 867.47, 20.67, 51.6, 3.55, 163.9
1180, 865.47, 20.57, 51.8, 3.56, 167.6
1200, 863.48, 20.47, 52.0, 3.58, 173.1
1220, 861.49, 20.30, 52.3, 3.60, 176.0
1240, 859.50, 20.14, 52.4, 3.63, 174.8
1260, 857.52, 19.98, 52.5, 3.66, 174.4
1280, 855.54, 19.78, 52.7, 3.69, 176.1
1300, 853.57, 19.61, 52.8, 3.77, 177.9
1320, 851.60, 19.45, 52.9, 3.88, 179.2
1340, 849.63, 19.30, 52.7, 3.98, 178.3
1360, 847.67, 19.18, 52.4, 4.07, 174.5
1380, 845.71, 19.07, 52.0, 4.10, 169.7
1400, 843.75, 18.96, 51.9, 4.13, 166.0
1420, 841.79, 18.83, 51.9, 4.10, 165.3
1440, 839.84, 18.69, 52.0, 4.05, 167.1
1460, 837.90, 18.58, 52.2, 3.98, 168.5
1480, 835.96, 18.41, 52.2, 3.87, 168.3
1500, 834.02, 18.12, 52.1, 3.73, 169.9
1520, 832.08, 17.92, 52.1, 3.65, 171.3
1540, 830.15, 17.80, 52.0, 3.63, 171.3
1560, 828.22, 17.67, 51.8, 3.66, 170.6
1580, 826.29, 17.48, 51.9, 3.70, 169.8
1600, 824.37, 17.32, 52.4, 3.73, 168.4
1620, 822.45, 17.16, 52.8, 3.70, 167.2
1640, 820.53, 16.98, 53.1, 3.67, 167.6
1660, 818.62, 16.78, 53.5, 3.62, 167.6
1680, 816.71, 16.62, 54.2, 3.60, 166.8
1700, 814.80, 16.45, 55.0, 3.60, 164.1
1720, 812.90, 16.31, 55.4, 3.57, 161.5
1740, 811.00, 16.18, 55.1, 3.53, 159.1
1760, 809.10, 16.08, 54.6, 3.51, 156.2
1780, 807.21, 15.97, 54.1, 3.46, 152.3
1800, 805.32, 15.81, 53.8, 3.42, 150.5
1820, 803.43, 15.72, 53.5, 3.40, 151.8
1840, 801.55, 15.69, 53.3, 3.38, 153.3
1860, 799.67, 15.50, 52.3, 3.31, 155.6
1880, 797.80, 15.30, 51.0, 3.27, 158.8
1900, 795.93, 15.29, 49.9, 3.24, 163.1
1920, 794.06, 15.19, 49.0, 3.23, 168.8
1940, 792.19, 15.04, 49.0, 3.23, 171.4
1960, 790.33, 14.81, 49.4, 3.25, 172.5
1980, 788.47, 14.66, 49.2, 3.25, 173.6
2000, 786.62, 14.51, 48.2, 3.26, 172.9
2020, 784.77, 14.36, 47.2, 3.29, 170.7
2040, 782.92, 14.24, 46.7, 3.33, 168.6
2060, 781.07, 14.15, 47.0, 3.31, 169.7
2080, 779.23, 14.03, 47.9, 3.34, 172.3
2100, 777.39, 13.88, 49.0, 3.34, 175.2
2120, 775.56, 13.67, 49.8, 3.40, 177.7
2140, 773.72, 13.53, 50.0, 3.49, 179.5
2160, 771.90, 13.37, 50.2, 3.57, 181.0
2180, 770.07, 13.21, 50.7, 3.57, 181.4
