UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
17:47:29, 190, 0, 98540,  ,  , 18.83, 58.75,  ,  ,  , 
17:47:31, 190, 0, 98540,  ,  , 18.81, 58.90,  ,  ,  , 
17:47:32, 190, 0, 98541,  ,  , 18.80, 59.00,  ,  ,  , 
17:47:33, 190, 0, 98542,  ,  , 18.80, 59.15,  ,  ,  , 
17:47:34, 190, 0, 98542,  ,  , 18.77, 59.20,  ,  ,  , 
17:47:35, 190, 0, 98542,  ,  , 18.76, 59.25,  ,  ,  , 
17:47:36, 190, 0, 98542,  ,  , 18.76, 59.30,  ,  ,  , 
17:47:37, 190, 0, 98541,  ,  , 18.76, 59.40,  ,  ,  , 
17:47:38, 190, 0, 98540,  ,  , 18.76, 59.45,  ,  ,  , 
17:47:39, 190, 0, 98540,  ,  , 18.77, 59.45,  ,  ,  , 
17:47:40, 190, 0, 98540,  ,  , 18.77, 59.45,  ,  ,  , 
17:47:41, 190, 0, 98540,  ,  , 18.77, 59.50,  ,  ,  , 
17:47:42, 190, 0, 98540,  ,  , 18.78, 59.50,  ,  ,  , 0
17:47:43, 190, 0, 98541,  ,  , 18.78, 59.55,  ,  ,  , 0
17:47:44, 189, 0, 98542,  ,  , 18.80, 59.55,  ,  ,  , 0
17:47:45, 189, 0, 98544,  ,  , 18.81, 59.50,  ,  ,  , 0
17:47:46, 190, 0, 98541,  ,  , 18.83, 59.50,  ,  ,  , 0
17:47:47, 190, 0, 98539,  ,  , 18.83, 59.50,  ,  ,  , 0
17:47:48, 190, 0, 98538,  ,  , 18.84, 59.45,  ,  ,  , 0
17:47:49, 190, 0, 98538,  ,  , 18.84, 59.40,  ,  ,  , 0
17:47:50, 190, 0, 98539,  ,  , 18.85, 59.40,  ,  ,  , 0
17:47:51, 190, 0, 98540,  ,  , 18.86, 59.40, 20.8,  ,  , 0
17:47:52, 190, 0, 98540,  ,  , 18.87, 59.40,  ,  ,  , 0
17:47:53, 190, 0, 98541,  ,  , 18.88, 59.40,  ,  ,  , 0
17:47:54, 190, 0, 98542,  ,  , 18.89, 59.35,  ,  ,  , 0
17:47:55, 190, 0, 98541,  ,  , 18.90, 59.30,  ,  ,  , 0
17:47:56, 190, 0, 98540,  ,  , 18.91, 59.25,  ,  ,  , 0
17:47:57, 190, 0, 98540,  ,  , 18.91, 59.20,  ,  ,  , 0
17:47:58, 190, 0, 98540,  ,  , 18.92, 59.20,  ,  ,  , 0
17:47:59, 190, 0, 98540,  ,  , 18.92, 59.15,  ,  ,  , 0
17:48:00, 190, 0, 98540,  ,  , 18.93, 59.10,  ,  ,  , 0
17:48:01, 190, 0, 98539,  ,  , 18.94, 59.00,  ,  ,  , 0
17:48:02, 190, 0, 98538,  ,  , 18.95, 58.95,  ,  ,  , 0
17:48:03, 190, 0, 98538,  ,  , 18.95, 58.85,  ,  ,  , 0
17:48:04, 190, 0, 98538,  ,  , 18.96, 58.80,  ,  ,  , 0
17:48:05, 190, 0, 98539,  ,  , 18.96, 58.75,  ,  ,  , 0
17:48:06, 190, 0, 98540,  ,  , 18.96, 58.75,  ,  ,  , 0
17:48:07, 190, 0, 98539,  ,  , 18.96, 58.80,  ,  ,  , 0
17:48:08, 190, 0, 98538,  ,  , 18.96, 58.80,  ,  ,  , 0
17:48:09, 190, 0, 98538,  ,  , 18.96, 58.85,  ,  ,  , 0
17:48:10, 190, 0, 98536,  ,  , 18.96, 58.85,  ,  ,  , 0
17:48:11, 190, 0, 98535,  ,  , 18.95, 58.85,  ,  ,  , 0
17:48:12, 190, 0, 98534,  ,  , 18.94, 58.85,  ,  ,  , 0
17:48:13, 190, 0, 98534,  ,  , 18.94, 58.85,  ,  ,  , 0
17:48:14, 190, 0, 98534,  ,  , 18.94, 58.85,  ,  ,  , 0
17:48:15, 190, 0, 98534,  ,  , 18.93, 58.85,  ,  ,  , 0
