# Radiation correction v2.4. Params: lat=43.0248, lon=-87.6902, utc_time=2024-05-23 15:22
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 982.99, 17.16, 66.7, 6.10, 202.0
40, 980.72, 18.94, 58.7, 5.82, 206.8
60, 978.46, 19.90, 52.5, 5.51, 212.3
80, 976.20, 20.16, 49.7, 5.07, 218.2
100, 973.95, 20.27, 48.0, 4.73, 224.9
120, 971.71, 20.32, 47.1, 4.50, 230.8
140, 969.47, 20.36, 46.1, 4.38, 237.6
160, 967.24, 20.39, 44.9, 4.30, 244.3
180, 965.01, 20.38, 44.0, 4.27, 247.8
200, 962.78, 20.29, 43.4, 4.31, 249.1
220, 960.56, 20.17, 43.1, 4.36, 250.1
240, 958.35, 20.03, 42.7, 4.40, 252.4
260, 956.14, 19.90, 42.4, 4.48, 256.1
280, 953.93, 19.80, 42.2, 4.53, 259.5
300, 951.73, 19.69, 42.0, 4.59, 263.3
320, 949.53, 19.56, 41.9, 4.69, 264.9
340, 947.34, 19.42, 42.1, 4.81, 265.4
360, 945.15, 19.24, 42.3, 4.85, 264.9
380, 942.96, 19.04, 42.5, 4.88, 265.5
400, 940.78, 18.81, 42.7, 4.87, 266.2
420, 938.60, 18.60, 42.9, 4.81, 267.4
440, 936.42, 18.47, 42.8, 4.79, 268.9
460, 934.25, 18.32, 42.5, 4.85, 271.5
480, 932.08, 18.18, 42.4, 4.95, 273.3
500, 929.92, 18.05, 42.4, 5.05, 274.5
520, 927.76, 17.90, 42.4, 5.17, 275.0
540, 925.60, 17.76, 42.2, 5.25, 275.2
560, 923.45, 17.62, 41.9, 5.23, 275.0
580, 921.30, 17.43, 41.7, 5.16, 275.4
600, 919.16, 17.29, 41.6, 5.05, 276.0
620, 917.01, 17.16, 41.5, 4.92, 276.0
640, 914.88, 17.00, 41.5, 4.86, 275.3
660, 912.74, 16.82, 41.7, 4.81, 274.3
680, 910.61, 16.65, 41.9, 4.79, 273.9
700, 908.48, 16.48, 42.2, 4.80, 273.7
720, 906.36, 16.34, 42.4, 4.79, 273.5
740, 904.24, 16.14, 42.7, 4.77, 272.8
760, 902.13, 15.95, 43.0, 4.75, 272.4
780, 900.02, 15.75, 43.3, 4.71, 271.9
800, 897.91, 15.59, 43.6, 4.68, 271.4
820, 895.80, 15.32, 44.1, 4.64, 270.5
840, 893.70, 15.06, 44.6, 4.62, 269.6
860, 891.60, 14.82, 45.2, 4.64, 268.6
880, 889.51, 14.75, 45.4, 4.65, 267.8
900, 887.42, 14.62, 45.6, 4.64, 266.8
920, 885.33, 14.32, 46.1, 4.66, 266.9
940, 883.25, 14.12, 46.6, 4.65, 267.5
960, 881.17, 13.99, 46.9, 4.68, 268.3
980, 879.10, 14.08, 46.4, 4.71, 268.4
1000, 877.03, 14.02, 45.8, 4.79, 268.2
1020, 874.96, 13.74, 45.6, 4.85, 268.6
1040, 872.90, 13.46, 45.7, 4.93, 269.1
1060, 870.83, 13.19, 45.8, 5.01, 270.2
1080, 868.78, 13.00, 45.9, 5.06, 270.1
1100, 866.72, 12.96, 45.5, 5.12, 269.8
1120, 864.67, 12.98, 44.0, 5.15, 270.4
1140, 862.63, 12.81, 42.4, 5.13, 271.9
1160, 860.59, 12.59, 41.4, 5.10, 273.7
1180, 858.55, 12.38, 40.8, 5.06, 274.7
1200, 856.51, 12.13, 40.5, 5.02, 275.4
1220, 854.48, 11.98, 40.4, 4.94, 276.0
1240, 852.45, 12.00, 40.0, 4.84, 278.7
1260, 850.43, 11.84, 39.6, 4.74, 281.7
1280, 848.40, 11.56, 39.7, 4.65, 283.0
1300, 846.39, 11.26, 39.9, 4.59, 283.6
1320, 844.37, 11.12, 40.1, 4.57, 284.2
1340, 842.36, 10.90, 40.3, 4.60, 285.7
1360, 840.35, 10.67, 40.4, 4.64, 287.4
1380, 838.35, 10.49, 40.1, 4.72, 288.2
1400, 836.35, 10.45, 39.5, 4.80, 288.2
1420, 834.35, 10.45, 39.0, 4.88, 287.6
1440, 832.36, 10.34, 38.8, 4.93, 287.7
1460, 830.37, 10.00, 39.2, 5.01, 288.3
1480, 828.38, 9.67, 39.7, 5.10, 288.4
1500, 826.40, 9.62, 39.7, 5.22, 288.0
1520, 824.42, 9.60, 39.3, 5.36, 287.5
1540, 822.45, 9.30, 39.1, 5.46, 287.0
1560, 820.48, 8.95, 39.3, 5.53, 286.4
1580, 818.51, 8.77, 39.4, 5.53, 287.0
1600, 816.54, 8.68, 39.2, 5.49, 287.7
1620, 814.58, 8.50, 39.2, 5.47, 288.6
1640, 812.62, 8.43, 39.5, 5.50, 289.5
1660, 810.67, 8.25, 40.2, 5.54, 291.0
1680, 808.72, 8.16, 40.7, 5.60, 292.4
1700, 806.78, 7.98, 41.2, 5.65, 293.5
1720, 804.83, 7.72, 41.8, 5.69, 294.0
1740, 802.89, 7.39, 42.5, 5.73, 295.0
1760, 800.96, 7.18, 42.9, 5.74, 295.9
1780, 799.02, 7.14, 42.5, 5.72, 296.7
1800, 797.09, 7.13, 41.6, 5.65, 297.1
1820, 795.17, 6.99, 40.9, 5.60, 297.1
1840, 793.24, 6.72, 40.8, 5.61, 296.9
1860, 791.33, 6.54, 41.1, 5.70, 296.1
1880, 789.41, 6.45, 41.1, 5.89, 294.4
1900, 787.50, 6.50, 40.3, 6.14, 291.9
1920, 785.60, 6.63, 38.8, 6.46, 290.0
1940, 783.69, 6.71, 37.4, 6.84, 288.9
1960, 781.80, 6.58, 36.6, 7.19, 289.9
1980, 779.90, 6.43, 36.1, 7.53, 290.9
2000, 778.01, 6.51, 35.3, 7.85, 291.8
2020, 776.13, 6.65, 34.5, 8.06, 291.8
2040, 774.24, 6.60, 34.3, 8.21, 291.6
2060, 772.37, 6.44, 34.3, 8.31, 291.4
2080, 770.49, 6.33, 34.3, 8.39, 291.3
2100, 768.62, 6.22, 34.3, 8.46, 291.1
2120, 766.75, 5.89, 34.6, 8.55, 290.1
2140, 764.89, 5.57, 34.8, 8.64, 289.1
2160, 763.03, 5.35, 35.1, 8.68, 288.7
2180, 761.17, 5.29, 35.4, 8.68, 288.9
2200, 759.31, 5.18, 35.7, 8.70, 289.4
2220, 757.46, 5.08, 35.8, 8.71, 290.2
2240, 755.61, 4.88, 36.0, 8.72, 290.9
2260, 753.76, 4.70, 36.3, 8.74, 291.3
2280, 751.92, 4.47, 36.6, 8.75, 291.7
2300, 750.08, 4.33, 36.9, 8.74, 292.0
2320, 748.25, 4.16, 37.1, 8.77, 292.4
2340, 746.42, 3.94, 37.4, 8.81, 292.6
2360, 744.59, 3.70, 37.9, 8.87, 292.7
2380, 742.76, 3.56, 38.2, 8.93, 292.9
2400, 740.94, 3.50, 38.3, 9.01, 293.3
2420, 739.12, 3.29, 38.5, 9.10, 293.9
2440, 737.30, 3.07, 38.9, 9.20, 294.3
2460, 735.49, 2.96, 39.1, 9.26, 294.7
2480, 733.68, 2.93, 39.1, 9.33, 295.2
2500, 731.88, 2.86, 39.0, 9.41, 295.9
2520, 730.07, 2.58, 39.1, 9.50, 296.5
2540, 728.28, 2.25, 39.3, 9.63, 297.0
2560, 726.48, 2.08, 39.5, 9.84, 297.9
2580, 724.69, 2.01, 39.3, 10.07, 299.0
2600, 722.90, 1.95, 38.8, 10.25, 299.7
2620, 721.12, 1.83, 38.6, 10.46, 300.1
2640, 719.34, 1.61, 38.8, 10.58, 300.6
2660, 717.56, 1.39, 39.1, 10.66, 300.9
2680, 715.79, 1.24, 39.2, 10.70, 301.4
2700, 714.01, 1.10, 38.9, 10.70, 301.6
2720, 712.25, 1.11, 37.4, 10.72, 299.7
