# Radiation correction v2.4. Params: lat=43.0253, lon=-87.8332, utc_time=2024-05-23 14:17
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 983.55, 19.31, 54.2, 3.03, 195.0
40, 981.28, 19.91, 50.9, 3.16, 198.2
60, 979.02, 20.21, 48.4, 3.27, 207.6
80, 976.76, 20.21, 47.6, 3.30, 218.3
100, 974.51, 20.10, 47.4, 3.30, 225.6
120, 972.26, 19.96, 47.5, 3.21, 229.9
140, 970.01, 19.81, 47.7, 3.17, 234.1
160, 967.77, 19.67, 47.8, 3.23, 239.0
180, 965.53, 19.61, 47.7, 3.40, 244.5
200, 963.30, 19.59, 47.2, 3.65, 250.9
220, 961.07, 19.53, 46.0, 4.09, 259.8
240, 958.85, 19.53, 44.3, 4.54, 270.0
260, 956.63, 19.51, 43.5, 4.87, 276.0
280, 954.42, 19.44, 42.9, 4.99, 281.2
300, 952.21, 19.35, 42.5, 5.14, 282.1
320, 950.00, 19.22, 42.2, 5.35, 283.7
340, 947.80, 19.08, 41.8, 5.59, 286.4
360, 945.61, 18.98, 41.1, 5.83, 289.0
380, 943.41, 18.95, 40.2, 6.01, 289.8
400, 941.23, 18.87, 39.6, 6.11, 290.8
420, 939.04, 18.77, 39.3, 6.13, 292.4
440, 936.86, 18.65, 39.3, 6.19, 293.3
460, 934.69, 18.44, 39.6, 6.21, 292.0
480, 932.52, 18.22, 40.2, 6.27, 291.1
500, 930.35, 18.03, 40.8, 6.31, 290.8
520, 928.18, 17.82, 41.5, 6.36, 289.2
540, 926.02, 17.64, 41.9, 6.41, 287.5
560, 923.86, 17.46, 42.2, 6.44, 286.8
580, 921.71, 17.26, 42.5, 6.45, 287.4
600, 919.56, 17.10, 42.7, 6.44, 288.2
620, 917.41, 16.91, 42.9, 6.46, 288.9
640, 915.27, 16.71, 43.0, 6.55, 289.5
660, 913.13, 16.49, 43.2, 6.58, 289.3
680, 910.99, 16.33, 43.2, 6.58, 289.0
700, 908.86, 16.16, 43.4, 6.53, 288.3
720, 906.73, 15.97, 43.7, 6.46, 288.5
740, 904.61, 15.76, 44.1, 6.40, 288.0
760, 902.49, 15.68, 44.4, 6.45, 287.5
780, 900.37, 15.67, 44.2, 6.52, 287.5
800, 898.26, 15.45, 44.3, 6.56, 287.2
820, 896.15, 15.07, 44.8, 6.58, 286.7
