# Radiation correction v2.4. Params: lat=43.0252, lon=-87.8333, utc_time=2024-05-23 17:22
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 982.92, 18.49, 56.0, 6.46, 155.9
40, 980.65, 20.04, 48.6, 6.07, 156.1
60, 978.39, 21.22, 42.5, 5.64, 156.6
80, 976.15, 21.81, 39.0, 5.13, 161.3
100, 973.91, 22.01, 37.4, 4.63, 167.4
120, 971.68, 22.02, 37.0, 4.10, 171.2
140, 969.45, 22.04, 36.5, 3.76, 174.5
160, 967.22, 21.91, 36.3, 3.71, 184.3
180, 965.00, 21.41, 36.8, 3.88, 197.1
200, 962.78, 21.10, 37.2, 4.27, 200.9
220, 960.56, 20.94, 37.5, 4.61, 199.0
240, 958.35, 20.70, 37.9, 4.82, 200.1
260, 956.14, 20.44, 38.4, 5.09, 207.1
280, 953.94, 20.21, 38.7, 5.26, 214.5
300, 951.74, 20.06, 38.9, 5.28, 217.2
320, 949.54, 19.91, 39.1, 5.34, 216.3
340, 947.34, 19.69, 39.3, 5.27, 216.0
360, 945.15, 19.52, 39.5, 5.10, 218.0
380, 942.97, 19.33, 39.8, 4.96, 220.9
400, 940.78, 19.13, 40.2, 4.90, 222.0
420, 938.60, 18.95, 40.4, 4.88, 221.9
440, 936.43, 18.78, 40.6, 5.01, 222.6
460, 934.25, 18.60, 40.9, 5.16, 224.7
480, 932.08, 18.46, 41.1, 5.24, 224.3
500, 929.92, 18.34, 41.2, 5.24, 222.4
520, 927.76, 18.17, 41.5, 5.28, 222.1
540, 925.60, 17.97, 41.9, 5.47, 224.5
560, 923.45, 17.77, 42.4, 5.77, 224.4
580, 921.30, 17.58, 42.8, 6.02, 220.3
600, 919.15, 17.38, 43.3, 6.34, 216.0
620, 917.01, 17.15, 43.9, 6.67, 212.6
640, 914.87, 16.95, 44.3, 6.82, 212.0
660, 912.73, 16.78, 44.5, 7.01, 215.4
680, 910.60, 16.65, 44.6, 7.18, 218.5
700, 908.47, 16.44, 44.9, 7.24, 217.1
720, 906.35, 16.20, 45.3, 7.07, 216.4
740, 904.23, 16.01, 45.7, 7.02, 216.9
760, 902.11, 15.85, 45.9, 6.95, 216.6
780, 899.99, 15.71, 46.1, 6.88, 217.1
800, 897.88, 15.52, 46.5, 6.78, 219.0
820, 895.78, 15.33, 47.2, 6.76, 218.7
840, 893.68, 15.17, 47.8, 6.80, 218.6
860, 891.58, 15.00, 48.3, 6.93, 219.5
880, 889.48, 14.81, 48.7, 7.09, 221.7
900, 887.39, 14.60, 49.0, 7.21, 222.4
920, 885.30, 14.39, 49.3, 7.25, 223.0
940, 883.21, 14.13, 49.9, 7.18, 224.2
960, 881.13, 13.88, 50.5, 7.14, 226.3
980, 879.05, 13.71, 51.0, 7.10, 228.1
1000, 876.98, 13.55, 51.4, 7.09, 230.1
1020, 874.91, 13.38, 51.7, 7.04, 231.1
1040, 872.84, 13.21, 51.7, 7.01, 232.4
1060, 870.78, 13.05, 51.4, 6.92, 233.1
1080, 868.71, 12.95, 51.1, 6.90, 233.6
1100, 866.66, 12.82, 51.0, 6.88, 233.8
1120, 864.60, 12.64, 51.4, 6.67, 236.4
1140, 862.55, 12.43, 51.7, 6.56, 240.1
1160, 860.51, 12.23, 52.1, 6.57, 242.3
1180, 858.47, 12.07, 52.6, 6.59, 245.6
1200, 856.43, 11.88, 53.0, 6.48, 249.6
1220, 854.39, 11.71, 53.3, 6.51, 250.3
1240, 852.36, 11.52, 53.3, 6.43, 249.6
1260, 850.33, 11.38, 53.4, 6.33, 248.4
1280, 848.31, 11.25, 53.7, 6.20, 247.2
1300, 846.29, 11.11, 54.2, 6.12, 244.3
1320, 844.27, 10.96, 54.7, 6.16, 242.2
1340, 842.26, 10.71, 55.2, 6.26, 240.1
1360, 840.25, 10.43, 55.9, 6.35, 235.9
1380, 838.24, 10.30, 56.3, 6.40, 232.0
1400, 836.24, 10.29, 56.3, 6.45, 230.8
1420, 834.24, 10.34, 56.0, 6.50, 231.4
1440, 832.25, 10.43, 55.8, 6.62, 233.5
1460, 830.26, 10.49, 55.9, 6.84, 234.4
1480, 828.28, 10.36, 56.6, 6.96, 234.5
1500, 826.30, 10.00, 57.3, 6.91, 232.7
1520, 824.32, 9.77, 57.4, 6.70, 234.2
1540, 822.34, 9.67, 57.5, 6.43, 235.4
1560, 820.37, 9.57, 57.7, 6.20, 235.0
1580, 818.41, 9.44, 57.9, 6.13, 233.7
1600, 816.44, 9.31, 58.0, 6.21, 233.1
1620, 814.49, 9.16, 58.3, 6.51, 234.0
1640, 812.53, 8.89, 58.8, 6.86, 235.6
1660, 810.58, 8.61, 59.0, 7.11, 237.5
1680, 808.63, 8.41, 59.1, 7.21, 238.4
1700, 806.68, 8.20, 59.2, 7.21, 240.7
1720, 804.74, 8.03, 59.7, 7.07, 242.7
1740, 802.80, 7.85, 60.7, 7.02, 244.5
1760, 800.87, 7.71, 62.2, 6.98, 244.6
1780, 798.93, 7.58, 63.6, 7.05, 244.7
1800, 797.00, 7.31, 64.9, 7.08, 244.3
1820, 795.08, 7.02, 65.8, 7.09, 243.8
1840, 793.16, 6.83, 66.4, 6.96, 244.5
1860, 791.24, 6.65, 67.2, 6.85, 248.3
1880, 789.32, 6.43, 68.2, 6.67, 251.3
1900, 787.41, 6.32, 69.0, 6.64, 251.6
1920, 785.50, 6.27, 69.3, 6.67, 250.8
1940, 783.59, 6.10, 69.6, 6.70, 250.1
1960, 781.69, 5.79, 70.3, 6.67, 249.9
1980, 779.79, 5.55, 71.4, 6.60, 249.7
2000, 777.90, 5.50, 71.8, 6.55, 250.0
2020, 776.00, 5.44, 71.6, 6.49, 251.3
2040, 774.12, 5.26, 71.7, 6.46, 253.1
2060, 772.23, 4.95, 72.7, 6.53, 252.8
2080, 770.35, 4.62, 73.7, 6.68, 252.1
2100, 768.47, 4.36, 74.8, 6.80, 254.6
2120, 766.59, 4.11, 76.1, 6.94, 258.7
2140, 764.72, 4.03, 74.6, 7.13, 261.4
2160, 762.85, 4.06, 70.3, 7.20, 263.1
2180, 760.99, 4.07, 66.5, 7.25, 264.5
