# Radiation correction v2.4. Params: lat=43.0254, lon=-87.8331, utc_time=2024-05-23 19:01
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 982.77, 17.21, 60.6, 8.79, 157.9
40, 980.48, 18.49, 55.6, 9.38, 159.7
60, 978.22, 20.16, 48.6, 9.41, 159.4
80, 975.97, 21.42, 42.2, 9.50, 157.1
100, 973.73, 22.07, 38.1, 9.15, 154.2
120, 971.50, 22.40, 36.3, 8.79, 151.8
140, 969.27, 22.48, 35.8, 8.50, 150.3
160, 967.05, 22.48, 35.4, 8.21, 149.4
180, 964.83, 22.38, 35.1, 7.94, 149.5
200, 962.62, 22.25, 35.3, 7.75, 149.9
220, 960.41, 22.10, 35.7, 7.57, 150.1
240, 958.21, 21.93, 36.0, 7.33, 151.2
260, 956.01, 21.45, 36.8, 7.45, 169.9
280, 953.81, 20.91, 37.7, 8.13, 201.4
300, 951.61, 20.58, 38.3, 8.66, 225.4
320, 949.42, 20.33, 38.7, 8.73, 240.3
340, 947.23, 20.17, 39.0, 8.30, 243.7
360, 945.04, 20.03, 39.0, 7.39, 227.5
380, 942.86, 19.87, 39.0, 6.04, 204.7
400, 940.68, 19.68, 39.0, 5.19, 190.4
420, 938.50, 19.46, 39.2, 5.18, 189.6
440, 936.33, 19.29, 39.5, 5.39, 189.3
460, 934.16, 19.11, 39.8, 5.35, 190.5
480, 932.00, 18.83, 40.3, 5.28, 194.3
500, 929.83, 18.64, 40.6, 5.16, 197.7
520, 927.68, 18.50, 40.7, 5.06, 203.3
540, 925.52, 18.38, 40.7, 4.96, 210.7
560, 923.38, 18.36, 40.6, 5.01, 215.5
580, 921.23, 18.38, 40.3, 5.03, 218.9
600, 919.09, 18.29, 40.1, 5.05, 222.7
620, 916.95, 18.09, 40.2, 5.13, 222.9
640, 914.82, 17.82, 40.6, 5.52, 223.2
660, 912.69, 17.54, 41.3, 5.89, 223.5
680, 910.57, 17.46, 41.7, 6.25, 227.0
700, 908.45, 17.76, 41.1, 6.33, 232.9
720, 906.34, 18.08, 40.1, 6.33, 237.3
740, 904.23, 18.24, 39.3, 6.17, 236.2
760, 902.13, 18.20, 39.1, 6.18, 237.0
780, 900.03, 18.00, 39.3, 5.92, 243.5
800, 897.93, 17.72, 40.0, 5.72, 246.1
820, 895.84, 17.49, 40.5, 5.50, 244.1
840, 893.76, 17.31, 40.8, 5.35, 242.6
860, 891.67, 17.15, 41.0, 5.21, 243.9
880, 889.59, 17.00, 41.1, 5.26, 246.7
900, 887.51, 16.85, 41.1, 5.33, 247.9
