UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:17:58, 189, 0, 98512,  ,  , 17.67, 62.25,  ,  ,  , 
19:17:59, 189, 0, 98512,  ,  , 17.67, 62.30,  ,  ,  , 
19:18:00, 189, 0, 98512,  ,  , 17.67, 62.30,  ,  ,  , 
19:18:01, 189, 0, 98512,  ,  , 17.67, 62.30,  ,  ,  , 
19:18:02, 189, 0, 98512,  ,  , 17.68, 62.30,  ,  ,  , 
19:18:03, 189, 0, 98513,  ,  , 17.70, 62.30,  ,  ,  , 
19:18:04, 189, 0, 98514,  ,  , 17.71, 62.30,  ,  ,  , 
19:18:05, 189, 0, 98513,  ,  , 17.73, 62.35,  ,  ,  , 
19:18:06, 189, 0, 98512,  ,  , 17.74, 62.35,  ,  ,  , 
19:18:07, 189, 0, 98512,  ,  , 17.75, 62.30,  ,  ,  , 
19:18:08, 189, 0, 98512,  ,  , 17.77, 62.30,  ,  ,  , 
19:18:09, 189, 0, 98513,  ,  , 17.79, 62.25,  ,  ,  , 
19:18:10, 189, 0, 98514,  ,  , 17.81, 62.20,  ,  ,  , 0
19:18:17, 189, 0, 98512,  ,  , 17.94, 61.95,  ,  ,  , 0
19:18:18, 189, 0, 98512,  ,  , 17.95, 61.95,  ,  ,  , 0
19:18:19, 189, 0, 98512,  ,  , 17.96, 61.90,  ,  ,  , 0
19:18:20, 189, 0, 98512,  ,  , 17.97, 61.90,  ,  ,  , 0
19:18:21, 189, 0, 98512,  ,  , 17.98, 61.85,  ,  ,  , 0
19:18:22, 189, 0, 98512,  ,  , 17.99, 61.80,  ,  ,  , 0
19:18:23, 189, 0, 98513,  ,  , 18.00, 61.85,  ,  ,  , 0
19:18:24, 189, 0, 98514,  ,  , 18.01, 61.85,  ,  ,  , 0
19:18:25, 189, 0, 98516,  ,  , 18.02, 61.85,  ,  ,  , 0
19:18:26, 189, 0, 98514,  ,  , 18.03, 61.80,  ,  ,  , 0
19:18:27, 189, 0, 98513,  ,  , 18.04, 61.75,  ,  ,  , 0
19:18:28, 189, 0, 98512,  ,  , 18.05, 61.70,  ,  ,  , 0
19:18:29, 189, 0, 98513,  ,  , 18.06, 61.65,  ,  ,  , 0
19:18:30, 189, 0, 98515,  ,  , 18.07, 61.60,  ,  ,  , 0
19:18:31, 189, 0, 98518,  ,  , 18.09, 61.55,  ,  ,  , 0
19:18:31, 189, 0, 98516,  ,  , 18.11, 61.50,  ,  ,  , 0
19:18:32, 189, 0, 98514,  ,  , 18.12, 61.40,  ,  ,  , 0
19:18:33, 189, 0, 98512,  ,  , 18.13, 61.35,  ,  ,  , 0
19:18:34, 189, 0, 98512,  ,  , 18.14, 61.30,  ,  ,  , 0
19:18:35, 189, 0, 98512,  ,  , 18.14, 61.30,  ,  ,  , 0
19:18:36, 189, 0, 98512,  ,  , 18.15, 61.25,  ,  ,  , 0
19:18:37, 189, 0, 98510,  ,  , 18.15, 61.20,  ,  ,  , 0
19:18:38, 190, 0, 98509,  ,  , 18.15, 61.20,  ,  ,  , 0
19:18:39, 190, 0, 98508,  ,  , 18.16, 61.15,  ,  ,  , 0
19:18:40, 190, 0, 98508,  ,  , 18.17, 61.15,  ,  ,  , 0
19:18:41, 190, 0, 98509,  ,  , 18.17, 61.10,  ,  ,  , 0
19:18:42, 190, 0, 98510,  ,  , 18.18, 61.05, 21.0,  ,  , 0
19:18:43, 190, 0, 98509,  ,  , 18.19, 61.05,  ,  ,  , 0.1
19:18:44, 190, 0, 98508,  ,  , 18.20, 61.05,  ,  ,  , 0.1
19:18:45, 190, 0, 98508,  ,  , 18.20, 61.00,  ,  ,  , 0
19:18:46, 190, 0, 98509,  ,  , 18.21, 60.95,  ,  ,  , 0
19:18:47, 189, 0, 98510,  ,  , 18.21, 60.95,  ,  ,  , 0
19:18:48, 189, 0, 98512,  ,  , 18.21, 60.95,  ,  ,  , 0
19:18:49, 189, 0, 98512,  ,  , 18.21, 60.95,  ,  ,  , 0
19:18:50, 189, 0, 98512,  ,  , 18.22, 60.90,  ,  ,  , 0
19:18:51, 189, 0, 98512,  ,  , 18.22, 60.90,  ,  ,  , 0
19:18:52, 189, 0, 98512,  ,  , 18.24, 60.85,  ,  ,  , 0
19:18:53, 189, 0, 98512,  ,  , 18.24, 60.95,  ,  ,  , 0
19:18:54, 189, 0, 98512,  ,  , 18.24, 60.95,  ,  ,  , 0
19:18:55, 189, 0, 98512,  ,  , 18.25, 61.00,  ,  ,  , 0
19:18:56, 189, 0, 98513,  ,  , 18.25, 60.95,  ,  ,  , 0
19:18:57, 189, 0, 98514,  ,  , 18.25, 60.90,  ,  ,  , 0
19:18:58, 189, 0, 98514,  ,  , 18.26, 60.90,  ,  ,  , 0
19:18:59, 189, 0, 98514,  ,  , 18.26, 60.90,  ,  ,  , 0
19:19:00, 189, 0, 98514,  ,  , 18.27, 60.85,  ,  ,  , 0
19:19:01, 189, 0, 98513,  ,  , 18.27, 60.85,  ,  ,  , 0
19:19:02, 189, 0, 98512,  ,  , 18.28, 60.80,  ,  ,  , 0
19:19:03, 189, 0, 98512,  ,  , 18.28, 60.75,  ,  ,  , 0
19:19:04, 189, 0, 98512,  ,  , 18.28, 60.70,  ,  ,  , 0
19:19:05, 189, 0, 98513,  ,  , 18.29, 60.65,  ,  ,  , 0
19:19:06, 189, 0, 98514,  ,  , 18.29, 60.60,  ,  ,  , 0
19:19:07, 189, 0, 98514,  ,  , 18.29, 60.55,  ,  ,  , 0
19:19:08, 189, 0, 98514,  ,  , 18.28, 60.55,  ,  ,  , 0
19:19:09, 189, 0, 98514,  ,  , 18.28, 60.55, 21.5,  ,  , 0
19:19:09, 189, 0, 98513,  ,  , 18.28, 60.55,  ,  ,  , 0
19:19:10, 189, 0, 98512,  ,  , 18.28, 60.50,  ,  ,  , 0
19:19:11, 189, 0, 98512,  ,  , 18.28, 60.50,  ,  ,  , 0
19:19:12, 189, 0, 98512,  ,  , 18.28, 60.50,  ,  ,  , 0
19:19:13, 189, 0, 98513,  ,  , 18.28, 60.50,  ,  ,  , 0
19:19:14, 189, 0, 98514,  ,  , 18.28, 60.50,  ,  ,  , 0
19:19:15, 189, 0, 98514,  ,  , 18.29, 60.45,  ,  ,  , 0
19:19:16, 189, 0, 98514,  ,  , 18.29, 60.55,  ,  ,  , 0
19:19:17, 189, 0, 98514,  ,  , 18.30, 60.55,  ,  ,  , 0
