UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
14:11:12, 190, 0, 98584,  ,  , 20.11, 55.60,  ,  ,  , 
14:11:13, 189, 0, 98586,  ,  , 20.11, 55.70,  ,  ,  , 
14:11:14, 189, 0, 98586,  ,  , 20.11, 56.20,  ,  ,  , 
14:11:15, 189, 0, 98586,  ,  , 20.11, 56.75,  ,  ,  , 
14:11:16, 189, 0, 98586,  ,  , 20.11, 56.85,  ,  ,  , 
14:11:17, 189, 0, 98586,  ,  , 20.11, 56.85,  ,  ,  , 
14:11:18, 189, 0, 98586,  ,  , 20.11, 56.60,  ,  ,  , 
14:11:19, 189, 0, 98586,  ,  , 20.03, 56.30,  ,  ,  , 
14:11:20, 189, 0, 98587,  ,  , 19.95, 56.00,  ,  ,  , 
14:11:21, 189, 0, 98588,  ,  , 19.90, 55.75,  ,  ,  , 
14:11:22, 189, 0, 98590,  ,  , 19.83, 55.65,  ,  ,  , 
14:11:23, 189, 0, 98590,  ,  , 19.77, 55.55,  ,  ,  , 
14:11:24, 189, 0, 98590,  ,  , 19.69, 55.60,  ,  ,  , 0
14:11:25, 189, 0, 98590,  ,  , 19.62, 55.70,  ,  ,  , 0
14:11:26, 189, 0, 98590,  ,  , 19.53, 55.80,  ,  ,  , 0
14:11:27, 189, 0, 98590,  ,  , 19.46, 55.85,  ,  ,  , 0
14:11:28, 189, 0, 98590,  ,  , 19.39, 55.95,  ,  ,  , 0
14:11:29, 189, 0, 98587,  ,  , 19.33, 56.10,  ,  ,  , 0
14:11:30, 189, 0, 98585,  ,  , 19.28, 56.20,  ,  ,  , 0
14:11:31, 190, 0, 98584,  ,  , 19.23, 56.40, 24.5,  ,  , 0
14:11:32, 189, 0, 98586,  ,  , 19.19, 56.60,  ,  ,  , 0
14:11:33, 189, 0, 98588,  ,  , 19.15, 56.80,  ,  ,  , 0
14:11:34, 189, 0, 98590,  ,  , 19.12, 57.00,  ,  ,  , 0
14:11:35, 189, 0, 98589,  ,  , 19.08, 57.10,  ,  ,  , 0
