# Radiation correction v2.4. Params: lat=43.0250, lon=-87.8605, utc_time=2024-05-23 13:54
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 982.66, 19.12, 53.7, 3.47, 240.0
40, 980.39, 19.71, 50.1, 3.48, 243.6
60, 978.13, 19.94, 48.1, 3.46, 245.6
80, 975.87, 19.88, 47.5, 3.47, 242.8
100, 973.61, 19.77, 47.5, 3.51, 240.8
120, 971.36, 19.71, 47.3, 3.65, 242.7
140, 969.12, 19.67, 46.8, 3.88, 252.9
160, 966.88, 19.60, 46.4, 4.01, 265.4
180, 964.64, 19.49, 46.2, 4.27, 272.2
200, 962.41, 19.25, 46.6, 4.53, 272.7
220, 960.18, 19.10, 46.7, 4.94, 272.3
240, 957.96, 19.17, 45.6, 5.26, 277.2
260, 955.74, 19.23, 44.3, 5.59, 281.6
280, 953.53, 19.16, 43.4, 5.80, 281.5
300, 951.32, 19.01, 43.2, 6.12, 280.5
320, 949.11, 18.93, 42.9, 6.53, 282.7
340, 946.91, 18.91, 42.1, 6.89, 286.0
360, 944.72, 18.94, 41.3, 7.13, 287.6
380, 942.52, 18.92, 40.7, 7.21, 288.2
400, 940.34, 18.84, 40.2, 7.16, 288.7
420, 938.15, 18.74, 39.9, 7.09, 289.0
440, 935.98, 18.69, 39.7, 6.99, 290.7
460, 933.81, 18.57, 39.6, 6.98, 291.9
480, 931.64, 18.42, 39.8, 6.95, 291.7
500, 929.48, 18.14, 40.2, 6.92, 291.8
520, 927.31, 17.90, 40.5, 6.86, 292.5
540, 925.15, 17.74, 40.8, 6.84, 293.0
560, 922.99, 17.50, 41.2, 6.83, 292.9
580, 920.84, 17.30, 41.5, 6.87, 292.1
600, 918.69, 17.11, 41.8, 6.94, 291.7
620, 916.55, 16.92, 42.1, 7.06, 292.5
640, 914.41, 16.93, 42.2, 7.19, 293.4
660, 912.28, 16.91, 42.2, 7.28, 293.5
680, 910.15, 16.72, 42.4, 7.30, 293.1
700, 908.02, 16.29, 43.2, 7.22, 292.4
720, 905.90, 16.11, 43.8, 7.16, 291.5
740, 903.78, 15.90, 44.4, 7.11, 291.8
760, 901.66, 15.73, 44.9, 7.16, 292.5
780, 899.54, 15.62, 45.0, 7.22, 292.9
800, 897.43, 15.47, 45.2, 7.35, 292.3
820, 895.33, 15.39, 45.2, 7.33, 292.0
840, 893.23, 15.38, 45.1, 7.32, 290.8
860, 891.13, 15.50, 44.7, 7.24, 290.0
880, 889.05, 15.35, 44.7, 7.19, 289.5
900, 886.96, 15.02, 45.2, 7.13, 289.5
920, 884.87, 14.88, 45.7, 7.09, 290.0
940, 882.79, 14.92, 45.2, 7.02, 290.2
960, 880.71, 14.63, 45.2, 7.00, 289.7
980, 878.63, 13.94, 46.6, 6.96, 290.5
1000, 876.55, 13.26, 48.4, 6.95, 291.8
1020, 874.48, 12.96, 49.4, 6.94, 292.2
1040, 872.41, 12.89, 49.9, 6.94, 292.0
1060, 870.34, 12.86, 49.9, 6.91, 292.1
1080, 868.28, 12.63, 50.0, 6.89, 292.3
1100, 866.22, 12.40, 50.2, 6.87, 292.6
1120, 864.17, 12.25, 50.4, 6.83, 293.0
1140, 862.12, 12.11, 50.4, 6.80, 293.5
1160, 860.07, 11.92, 50.5, 6.69, 293.2
1180, 858.02, 11.61, 51.0, 6.67, 292.5
1200, 855.98, 11.35, 51.4, 6.61, 292.6
1220, 853.94, 11.20, 51.7, 6.66, 293.1
1240, 851.91, 11.01, 52.0, 6.70, 293.8
1260, 849.87, 10.89, 52.2, 6.79, 294.9
1280, 847.85, 10.70, 52.5, 6.78, 295.3
1300, 845.82, 10.52, 52.9, 6.85, 295.2
1320, 843.80, 10.33, 53.4, 6.89, 295.4
1340, 841.78, 10.15, 53.8, 6.93, 295.9
1360, 839.77, 10.01, 54.3, 7.02, 296.2
1380, 837.76, 9.94, 54.8, 7.12, 296.0
1400, 835.76, 9.86, 55.1, 7.17, 295.8
