# Radiation correction v2.4. Params: lat=43.0261, lon=-87.8338, utc_time=2024-05-08 18:10
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 977.26, 15.59, 61.9, 7.05, 96.9
40, 974.97, 16.44, 57.9, 7.21, 95.2
60, 972.70, 17.13, 54.2, 7.27, 94.0
80, 970.43, 17.40, 51.6, 7.15, 95.1
100, 968.17, 17.52, 49.5, 6.81, 97.0
120, 965.92, 17.69, 48.0, 6.38, 97.7
140, 963.67, 17.91, 46.9, 5.98, 97.0
160, 961.43, 18.03, 46.9, 5.52, 95.1
180, 959.20, 18.04, 47.8, 5.03, 92.2
200, 956.97, 18.01, 48.2, 4.43, 89.5
220, 954.75, 18.07, 47.2, 3.76, 91.5
240, 952.53, 18.18, 46.3, 3.07, 95.0
260, 950.32, 18.36, 45.5, 2.26, 99.2
280, 948.12, 18.58, 44.1, 1.43, 98.6
300, 945.92, 18.71, 42.5, 0.84, 95.8
320, 943.73, 18.73, 41.2, 0.47, 91.5
340, 941.54, 18.65, 40.2, 0.17, 90.8
360, 939.35, 18.58, 39.6, 0.09, 90.8
380, 937.17, 18.54, 39.5, 0.08, 90.8
400, 934.99, 18.49, 39.7, 0.25, 90.6
420, 932.82, 18.42, 40.0, 0.55, 42.5
440, 930.66, 18.44, 39.8, 0.89, 339.0
460, 928.49, 18.48, 39.3, 1.22, 315.1
480, 926.34, 18.50, 38.9, 1.50, 306.0
500, 924.18, 18.47, 38.7, 1.56, 301.9
520, 922.03, 18.38, 38.5, 1.69, 300.9
540, 919.89, 18.20, 38.5, 1.92, 296.6
560, 917.75, 18.03, 38.5, 2.18, 291.6
580, 915.61, 17.93, 38.4, 2.45, 286.1
600, 913.48, 17.87, 38.1, 2.83, 284.3
620, 911.36, 17.74, 37.7, 3.11, 282.2
640, 909.23, 17.48, 37.7, 3.29, 282.6
660, 907.11, 17.25, 37.9, 3.39, 282.3
680, 905.00, 17.15, 38.0, 3.50, 280.7
700, 902.88, 17.10, 37.8, 3.69, 277.7
720, 900.78, 16.90, 38.0, 3.92, 275.6
740, 898.67, 16.59, 38.4, 4.15, 275.5
760, 896.57, 16.40, 38.7, 4.33, 274.2
780, 894.47, 16.27, 38.9, 4.45, 272.1
800, 892.37, 16.12, 39.1, 4.52, 268.0
820, 890.28, 15.95, 39.4, 4.57, 265.5
840, 888.20, 15.76, 39.7, 4.62, 261.8
860, 886.11, 15.58, 40.0, 4.61, 262.2
880, 884.03, 15.42, 40.3, 4.64, 266.4
900, 881.96, 15.26, 40.5, 4.66, 270.1
920, 879.89, 15.12, 40.8, 4.78, 271.7
940, 877.82, 14.94, 41.2, 4.91, 271.2
960, 875.75, 14.76, 41.5, 5.04, 269.4
980, 873.69, 14.60, 41.7, 5.09, 268.6
1000, 871.63, 14.41, 41.9, 5.07, 269.3
1020, 869.58, 14.21, 42.3, 5.06, 270.4
1040, 867.53, 14.03, 42.7, 5.06, 271.7
1060, 865.48, 13.92, 43.0, 5.07, 272.6
1080, 863.44, 13.83, 43.0, 5.10, 272.6
1100, 861.40, 13.66, 43.1, 5.21, 272.4
1120, 859.36, 13.47, 43.2, 5.35, 272.4
1140, 857.33, 13.30, 43.4, 5.47, 272.2
1160, 855.30, 13.14, 43.2, 5.62, 271.2
1180, 853.28, 12.99, 42.9, 5.78, 270.0
1200, 851.25, 12.84, 42.6, 5.98, 269.2
1220, 849.24, 12.69, 42.2, 6.17, 269.5
1240, 847.22, 12.58, 41.4, 6.36, 269.8
1260, 845.21, 12.46, 40.7, 6.50, 269.7
1280, 843.21, 12.33, 39.9, 6.58, 270.4
1300, 841.20, 12.18, 39.1, 6.67, 273.0
1320, 839.20, 12.03, 38.6, 6.74, 276.2
1340, 837.21, 11.86, 38.9, 6.80, 278.7
1360, 835.22, 11.62, 39.3, 6.98, 280.9
1380, 833.23, 11.41, 39.3, 7.14, 283.8
1400, 831.24, 11.28, 39.1, 7.32, 284.9
1420, 829.26, 11.16, 38.8, 7.47, 286.1
1440, 827.28, 11.09, 38.1, 7.67, 288.0
1460, 825.31, 11.02, 37.1, 7.79, 289.8
1480, 823.34, 10.92, 36.3, 7.92, 291.6
1500, 821.37, 10.78, 36.0, 8.01, 293.8
1520, 819.41, 10.72, 35.4, 8.09, 295.3
1540, 817.45, 10.64, 34.4, 8.15, 296.6
1560, 815.50, 10.55, 33.4, 8.28, 296.9
1580, 813.55, 10.42, 32.8, 8.39, 297.2
1600, 811.60, 10.31, 32.2, 8.47, 297.1
1620, 809.66, 10.20, 31.8, 8.54, 296.4
1640, 807.72, 10.04, 31.5, 8.58, 295.0
1660, 805.78, 9.85, 31.3, 8.57, 293.5
1680, 803.85, 9.73, 31.2, 8.51, 292.3
1700, 801.92, 9.60, 31.0, 8.47, 291.5
1720, 800.00, 9.36, 31.1, 8.44, 290.5
1740, 798.07, 9.17, 31.2, 8.48, 289.5
1760, 796.15, 9.03, 31.2, 8.53, 288.5
1780, 794.24, 8.86, 31.4, 8.66, 287.6
1800, 792.33, 8.68, 32.0, 8.81, 287.1
1820, 790.42, 8.49, 32.8, 8.96, 286.8
1840, 788.52, 8.30, 33.6, 9.17, 286.9
1860, 786.62, 8.13, 34.5, 9.40, 287.1
