# Radiation correction v2.4. Params: lat=43.0247, lon=-87.8604, utc_time=2024-05-08 13:47
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 975.86, 16.74, 54.8, 2.26, 328.9
40, 973.58, 16.60, 54.2, 2.43, 317.7
60, 971.31, 16.66, 53.2, 2.56, 313.5
80, 969.04, 16.64, 52.5, 2.71, 313.3
100, 966.78, 16.51, 52.5, 2.92, 312.0
120, 964.52, 16.31, 52.7, 3.11, 308.6
140, 962.26, 16.10, 53.1, 3.23, 310.1
160, 960.01, 15.90, 53.5, 3.45, 313.8
180, 957.77, 15.78, 53.7, 3.65, 316.4
200, 955.53, 15.66, 53.7, 4.02, 318.4
220, 953.29, 15.53, 53.6, 4.59, 320.9
240, 951.06, 15.51, 53.1, 5.31, 321.9
260, 948.83, 15.56, 52.2, 6.07, 321.6
280, 946.61, 15.82, 49.4, 6.82, 321.9
300, 944.39, 16.38, 44.5, 7.46, 324.2
320, 942.19, 16.90, 41.0, 7.99, 326.1
340, 940.00, 17.17, 39.5, 8.26, 328.2
360, 937.80, 17.21, 39.2, 8.21, 330.9
380, 935.62, 17.17, 39.1, 8.06, 332.1
400, 933.44, 17.23, 38.7, 7.92, 329.3
420, 931.26, 17.22, 38.7, 7.85, 325.9
440, 929.09, 17.18, 39.4, 7.95, 323.0
460, 926.92, 17.13, 40.7, 8.25, 319.6
480, 924.75, 17.12, 41.8, 8.60, 319.5
500, 922.60, 17.04, 42.4, 8.89, 322.3
520, 920.44, 16.84, 42.9, 9.07, 325.6
540, 918.29, 16.66, 43.3, 9.19, 327.4
560, 916.14, 16.55, 43.5, 9.29, 328.5
580, 914.00, 16.34, 43.8, 9.34, 330.8
600, 911.86, 16.17, 44.0, 9.40, 332.7
620, 909.73, 15.99, 44.3, 9.40, 334.2
640, 907.59, 15.80, 44.7, 9.40, 334.6
660, 905.47, 15.65, 45.1, 9.32, 333.1
680, 903.34, 15.43, 45.6, 9.25, 329.7
700, 901.22, 15.22, 46.2, 9.14, 326.6
720, 899.10, 15.05, 45.9, 9.02, 324.1
740, 896.99, 14.95, 44.7, 8.92, 321.9
760, 894.88, 15.00, 42.6, 8.79, 319.6
780, 892.78, 14.99, 39.9, 8.68, 318.7
800, 890.68, 14.93, 37.8, 8.57, 318.6
820, 888.58, 14.84, 34.3, 8.51, 318.6
840, 886.49, 14.84, 30.3, 8.47, 318.5
860, 884.40, 14.82, 28.5, 8.43, 319.0
880, 882.32, 14.75, 27.8, 8.41, 319.5
900, 880.24, 14.59, 27.6, 8.37, 320.5
920, 878.16, 14.40, 27.5, 8.42, 321.7
940, 876.09, 14.26, 27.6, 8.53, 323.2
960, 874.02, 14.15, 27.6, 8.67, 324.5
980, 871.96, 14.10, 27.5, 8.90, 325.8
1000, 869.90, 14.04, 27.4, 9.18, 326.9
1020, 867.84, 13.84, 27.6, 9.43, 327.4
1040, 865.79, 13.62, 27.8, 9.61, 327.7
1060, 863.74, 13.47, 27.9, 9.92, 327.8
1080, 861.70, 13.27, 27.8, 10.15, 326.9
1100, 859.66, 13.05, 27.8, 10.38, 325.0
1120, 857.62, 12.87, 28.1, 10.58, 322.8
1140, 855.58, 12.74, 28.9, 10.74, 320.0
1160, 853.55, 12.68, 29.9, 10.86, 318.8
1180, 851.53, 12.61, 30.6, 10.87, 317.6
1200, 849.50, 12.47, 31.2, 10.77, 315.9
1220, 847.48, 12.26, 31.9, 10.64, 313.7
1240, 845.47, 12.14, 32.2, 10.50, 312.2
1260, 843.46, 12.01, 32.5, 10.41, 311.3
1280, 841.45, 11.73, 32.8, 10.35, 310.9
1300, 839.45, 11.48, 33.3, 10.38, 310.0
1320, 837.45, 11.33, 33.6, 10.37, 308.5
1340, 835.45, 11.22, 34.0, 10.37, 306.9
1360, 833.46, 11.08, 34.3, 10.35, 305.8
1380, 831.47, 10.86, 34.8, 10.32, 303.9
1400, 829.48, 10.60, 35.4, 10.24, 302.6
1420, 827.50, 10.36, 35.9, 10.17, 301.1
1440, 825.52, 10.19, 36.2, 10.12, 300.1
1460, 823.54, 10.01, 36.6, 10.16, 297.8
1480, 821.57, 9.78, 37.2, 10.28, 295.3
1500, 819.60, 9.68, 37.7, 10.43, 292.8
1520, 817.63, 9.59, 38.1, 10.64, 290.9
1540, 815.67, 9.46, 38.5, 10.86, 288.9
1560, 813.71, 9.25, 39.0, 11.08, 288.0
1580, 811.76, 9.13, 39.4, 11.32, 287.2
1600, 809.81, 9.13, 39.5, 11.65, 286.9
1620, 807.86, 9.04, 39.4, 12.01, 286.3
1640, 805.92, 8.90, 39.3, 12.47, 286.2
1660, 803.99, 8.89, 38.9, 12.74, 286.2
1680, 802.05, 8.93, 38.3, 12.95, 287.5
1700, 800.12, 8.84, 38.0, 13.07, 289.3
1720, 798.20, 8.56, 37.9, 13.11, 291.5
1740, 796.27, 8.25, 38.1, 13.20, 292.3
1760, 794.35, 7.99, 38.3, 13.33, 293.3
1780, 792.44, 7.91, 38.0, 13.48, 294.8
1800, 790.52, 7.96, 37.2, 13.68, 296.1
1820, 788.62, 7.96, 36.0, 13.86, 296.1
1840, 786.71, 7.79, 35.0, 14.01, 295.2
1860, 784.81, 7.61, 34.6, 14.08, 294.9
1880, 782.91, 7.42, 34.4, 14.16, 294.8
1900, 781.02, 7.34, 34.4, 14.19, 294.8
1920, 779.13, 7.22, 34.5, 14.24, 294.6
1940, 777.24, 6.99, 34.7, 14.32, 294.4
1960, 775.36, 6.74, 35.0, 14.45, 294.5
1980, 773.48, 6.62, 35.2, 14.59, 294.9
2000, 771.60, 6.45, 35.2, 14.75, 295.5
2020, 769.73, 6.23, 35.2, 14.92, 296.0
2040, 767.86, 6.05, 35.0, 15.08, 296.7
2060, 765.99, 5.93, 34.8, 15.24, 297.8
2080, 764.13, 5.80, 34.5, 15.37, 299.1
2100, 762.27, 5.63, 34.3, 15.47, 299.9
2120, 760.41, 5.41, 34.2, 15.56, 300.2
2140, 758.56, 5.31, 34.2, 15.61, 300.2
2160, 756.71, 5.22, 34.2, 15.63, 300.1
2180, 754.86, 4.97, 34.4, 15.63, 299.9
2200, 753.02, 4.57, 34.8, 15.61, 299.4
2220, 751.18, 4.42, 35.2, 15.60, 299.4
2240, 749.34, 4.35, 35.5, 15.65, 299.6
2260, 747.51, 4.25, 35.7, 15.75, 299.7
2280, 745.68, 4.08, 35.7, 15.92, 299.6
2300, 743.85, 3.81, 35.6, 16.16, 299.4
2320, 742.03, 3.59, 35.7, 16.44, 299.2
2340, 740.21, 3.45, 36.0, 16.54, 299.3
2360, 738.40, 3.43, 36.1, 16.70, 299.4
2380, 736.59, 3.38, 35.9, 16.85, 299.5
2400, 734.78, 3.18, 36.0, 17.01, 299.4
2420, 732.98, 3.03, 36.8, 17.15, 299.3
2440, 731.17, 2.99, 37.5, 17.19, 299.1
2460, 729.38, 2.97, 37.6, 17.20, 299.0
2480, 727.59, 2.68, 37.7, 17.19, 299.2
2500, 725.80, 2.28, 37.9, 17.20, 299.4
2520, 724.01, 2.05, 37.8, 17.23, 299.4
2540, 722.22, 2.12, 37.3, 17.31, 299.3
2560, 720.44, 1.98, 36.6, 17.27, 298.9
2580, 718.66, 1.56, 36.0, 17.06, 298.6
2600, 716.89, 1.31, 36.0, 16.89, 298.5
2620, 715.11, 1.33, 36.2, 16.82, 298.6
2640, 713.34, 1.27, 36.2, 16.81, 299.1
2660, 711.58, 1.01, 36.4, 16.80, 299.5
2680, 709.82, 0.67, 36.8, 16.89, 300.0
2700, 708.06, 0.49, 37.3, 16.93, 300.2
2720, 706.30, 0.26, 37.5, 17.07, 300.1
2740, 704.54, 0.05, 37.6, 17.13, 300.2
2760, 702.79, -0.13, 37.6, 17.13, 300.5
2780, 701.04, -0.40, 37.8, 17.05, 299.8
2800, 699.30, -0.57, 37.9, 16.88, 298.5
2820, 697.56, -0.74, 38.0, 16.72, 297.3
2840, 695.82, -0.92, 38.1, 16.55, 296.0
2860, 694.09, -1.02, 37.7, 16.50, 294.8
2880, 692.35, -0.99, 37.3, 16.50, 293.9
2900, 690.63, -0.91, 36.7, 16.56, 292.5
2920, 688.90, -1.03, 36.1, 16.76, 291.0
2940, 687.18, -1.14, 35.6, 16.96, 289.5
2960, 685.47, -1.26, 35.1, 17.16, 288.0
2980, 683.75, -1.37, 34.5, 17.36, 286.5
3000, 682.05, -1.48, 34.0, 17.56, 285.0
