# Radiation correction v2.4. Params: lat=43.0249, lon=-87.8339, utc_time=2024-05-08 17:10
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 976.93, 16.47, 60.5, 6.80, 87.4
40, 974.65, 17.60, 56.1, 6.39, 86.1
60, 972.39, 18.62, 51.5, 6.13, 84.3
80, 970.14, 19.10, 49.1, 5.59, 83.5
100, 967.89, 19.19, 48.5, 5.19, 85.3
120, 965.65, 19.26, 48.0, 4.71, 87.4
140, 963.42, 19.35, 47.2, 4.08, 87.4
160, 961.19, 19.49, 46.0, 3.43, 86.1
180, 958.97, 19.63, 44.3, 2.83, 82.8
200, 956.75, 19.76, 42.3, 2.29, 73.2
220, 954.54, 19.87, 40.2, 1.97, 65.4
240, 952.33, 19.91, 38.7, 1.74, 59.7
260, 950.13, 19.89, 38.1, 1.67, 50.8
280, 947.93, 19.80, 37.8, 1.73, 40.3
300, 945.74, 19.60, 37.9, 1.93, 30.1
320, 943.55, 19.36, 38.1, 2.10, 25.2
340, 941.36, 19.22, 38.2, 2.20, 17.7
360, 939.18, 19.08, 38.1, 2.26, 10.5
380, 937.00, 18.95, 38.1, 2.19, 4.7
400, 934.83, 18.79, 38.1, 2.16, 6.0
420, 932.66, 18.61, 38.3, 2.22, 5.0
440, 930.49, 18.40, 38.8, 2.29, 358.0
460, 928.33, 18.27, 39.2, 2.34, 353.4
480, 926.17, 18.15, 39.4, 2.41, 351.1
500, 924.02, 17.98, 39.6, 2.43, 344.1
520, 921.87, 17.86, 39.7, 2.33, 335.1
540, 919.72, 17.73, 39.8, 2.37, 331.0
560, 917.58, 17.56, 40.0, 2.34, 328.0
580, 915.44, 17.39, 40.2, 2.37, 324.5
600, 913.31, 17.23, 40.5, 2.43, 320.9
620, 911.18, 17.07, 40.7, 2.50, 316.8
640, 909.05, 16.87, 40.9, 2.52, 311.5
660, 906.92, 16.65, 41.1, 2.54, 307.3
680, 904.80, 16.46, 41.4, 2.56, 308.1
700, 902.69, 16.30, 41.7, 2.66, 308.0
720, 900.57, 16.14, 42.1, 2.86, 309.3
740, 898.46, 15.92, 42.4, 3.08, 307.3
760, 896.36, 15.78, 42.5, 3.31, 305.7
780, 894.26, 15.65, 42.6, 3.62, 304.2
800, 892.16, 15.49, 42.5, 3.98, 304.8
820, 890.06, 15.31, 42.5, 4.30, 303.9
840, 887.97, 15.19, 42.4, 4.44, 302.0
860, 885.88, 15.16, 42.0, 4.52, 299.5
880, 883.80, 15.12, 41.4, 4.52, 298.4
900, 881.72, 14.93, 40.9, 4.50, 296.0
920, 879.65, 14.71, 40.5, 4.54, 293.7
940, 877.57, 14.58, 40.1, 4.63, 292.3
960, 875.51, 14.49, 39.9, 4.71, 293.5
980, 873.44, 14.38, 39.9, 4.85, 294.1
1000, 871.38, 14.16, 40.1, 5.04, 294.3
1020, 869.33, 13.87, 40.5, 5.26, 294.8
1040, 867.27, 13.68, 41.0, 5.48, 297.0
1060, 865.22, 13.44, 41.5, 5.71, 298.3
1080, 863.17, 13.23, 41.6, 5.88, 298.0
1100, 861.13, 13.19, 41.1, 6.03, 297.6
1120, 859.09, 13.14, 40.3, 6.15, 297.4
1140, 857.06, 13.04, 39.4, 6.36, 297.5
1160, 855.03, 12.87, 38.2, 6.54, 298.6
1180, 853.00, 12.78, 36.9, 6.83, 300.0
1200, 850.98, 12.70, 35.8, 7.13, 300.1
1220, 848.96, 12.57, 35.0, 7.36, 298.5
1240, 846.94, 12.51, 34.0, 7.52, 297.4
1260, 844.93, 12.46, 33.0, 7.62, 296.1
1280, 842.92, 12.39, 32.4, 7.65, 295.1
1300, 840.92, 12.21, 32.6, 7.65, 293.3
1320, 838.92, 12.03, 32.9, 7.70, 291.8
