# Radiation correction v2.4. Params: lat=43.0252, lon=-87.8614, utc_time=2024-05-08 19:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 977.53, 15.62, 61.0, 4.21, 132.5
40, 975.24, 15.38, 61.5, 4.54, 127.3
60, 972.95, 15.44, 61.3, 4.96, 122.0
80, 970.68, 15.88, 59.7, 5.57, 116.1
100, 968.41, 16.48, 57.2, 6.08, 113.5
120, 966.14, 16.95, 54.8, 6.23, 113.3
140, 963.89, 17.28, 52.3, 6.13, 114.0
160, 961.65, 17.48, 50.3, 6.01, 116.9
180, 959.41, 17.54, 49.0, 5.76, 122.6
200, 957.17, 17.57, 47.9, 5.47, 127.8
220, 954.94, 17.65, 46.9, 5.10, 128.1
240, 952.72, 17.77, 46.0, 4.60, 126.2
260, 950.51, 17.99, 45.2, 4.04, 124.3
280, 948.30, 18.27, 44.2, 3.56, 128.6
300, 946.09, 18.45, 43.4, 3.13, 132.7
320, 943.90, 18.54, 42.6, 2.80, 133.7
340, 941.70, 18.56, 41.7, 2.57, 124.8
360, 939.52, 18.51, 41.4, 2.32, 116.7
380, 937.33, 18.45, 41.4, 2.21, 107.8
400, 935.15, 18.40, 41.5, 2.14, 96.6
420, 932.98, 18.35, 41.4, 2.20, 95.6
440, 930.82, 18.29, 41.3, 2.30, 101.3
460, 928.64, 18.25, 41.1, 2.39, 107.9
480, 926.48, 18.21, 41.1, 2.44, 102.7
500, 924.33, 18.15, 41.1, 2.44, 91.2
520, 922.18, 18.06, 41.3, 2.39, 77.5
540, 920.03, 17.90, 41.5, 2.38, 62.2
560, 917.89, 17.78, 41.8, 2.40, 48.2
580, 915.75, 17.77, 41.8, 2.24, 38.8
600, 913.62, 17.87, 41.4, 2.04, 32.3
620, 911.50, 17.91, 40.6, 1.68, 16.2
640, 909.37, 17.91, 39.6, 1.38, 0.1
660, 907.25, 17.89, 38.9, 1.13, 343.7
680, 905.14, 17.81, 38.6, 1.11, 325.2
700, 903.03, 17.70, 38.6, 1.27, 308.5
720, 900.92, 17.56, 38.6, 1.41, 304.1
740, 898.82, 17.41, 38.8, 1.57, 304.4
760, 896.73, 17.23, 39.1, 1.70, 303.5
780, 894.64, 17.04, 39.4, 1.82, 302.4
800, 892.55, 16.87, 39.8, 1.91, 303.7
820, 890.46, 16.69, 40.3, 2.07, 304.0
840, 888.38, 16.47, 40.6, 2.18, 298.3
860, 886.30, 16.27, 40.7, 2.22, 291.6
880, 884.23, 16.11, 40.7, 2.24, 286.4
900, 882.15, 15.97, 40.8, 2.27, 283.0
920, 880.09, 15.88, 40.8, 2.37, 278.5
940, 878.02, 15.69, 40.7, 2.51, 276.4
960, 875.96, 15.49, 40.7, 2.68, 275.3
980, 873.90, 15.32, 40.9, 2.86, 273.7
1000, 871.85, 15.12, 41.1, 3.05, 269.9
1020, 869.80, 14.90, 41.4, 3.30, 267.2
1040, 867.75, 14.70, 41.8, 3.53, 267.2
1060, 865.71, 14.57, 42.0, 3.77, 269.1
1080, 863.67, 14.47, 42.2, 3.95, 268.3
1100, 861.64, 14.36, 42.3, 4.08, 268.3
1120, 859.60, 14.18, 42.5, 4.24, 270.2
1140, 857.58, 13.98, 42.8, 4.42, 272.0
1160, 855.55, 13.81, 42.9, 4.53, 272.5
1180, 853.53, 13.67, 42.7, 4.71, 271.7
1200, 851.52, 13.48, 42.4, 4.85, 269.3
1220, 849.50, 13.26, 42.5, 4.97, 267.3
1240, 847.49, 13.09, 42.6, 5.07, 266.6
1260, 845.49, 12.97, 42.4, 5.14, 268.1
1280, 843.48, 12.83, 42.1, 5.11, 269.4
1300, 841.48, 12.64, 42.0, 5.15, 268.7
1320, 839.49, 12.39, 42.2, 5.16, 268.5
1340, 837.49, 12.18, 42.4, 5.24, 271.2
1360, 835.50, 12.08, 42.4, 5.35, 274.8
1380, 833.52, 11.95, 42.3, 5.49, 276.0
1400, 831.54, 11.83, 42.4, 5.57, 275.4
1420, 829.56, 11.67, 42.4, 5.63, 274.4
1440, 827.58, 11.52, 42.3, 5.65, 274.4
1460, 825.61, 11.35, 42.4, 5.66, 274.3
1480, 823.64, 11.12, 42.8, 5.70, 274.1
1500, 821.68, 10.94, 43.2, 5.76, 272.6
1520, 819.72, 10.72, 43.6, 5.84, 271.8
1540, 817.76, 10.56, 43.8, 5.98, 272.3
1560, 815.81, 10.36, 43.9, 6.12, 274.1
1580, 813.86, 10.19, 44.1, 6.17, 274.8
1600, 811.91, 10.06, 44.3, 6.17, 275.1
1620, 809.96, 9.80, 44.6, 6.15, 276.7
1640, 808.02, 9.65, 44.7, 6.12, 276.6
1660, 806.09, 9.54, 44.8, 6.12, 276.4
1680, 804.15, 9.40, 45.1, 6.16, 276.8
1700, 802.22, 9.11, 45.6, 6.22, 277.8
1720, 800.30, 8.96, 46.1, 6.39, 280.0
1740, 798.37, 8.76, 46.8, 6.46, 283.7
1760, 796.45, 8.64, 47.3, 6.53, 286.4
1780, 794.54, 8.51, 47.5, 6.70, 287.2
1800, 792.62, 8.36, 47.9, 6.90, 288.6
1820, 790.71, 8.23, 48.2, 7.27, 289.0
1840, 788.81, 8.16, 47.8, 7.74, 289.8
1860, 786.91, 8.04, 46.7, 8.23, 289.9
1880, 785.01, 7.95, 45.7, 8.50, 291.1
1900, 783.11, 7.92, 45.0, 8.67, 291.5
1920, 781.22, 7.85, 44.7, 8.78, 291.6
1940, 779.34, 7.68, 45.5, 8.88, 292.6
1960, 777.46, 7.53, 46.9, 8.90, 294.2
1980, 775.58, 7.41, 48.4, 8.91, 296.6
2000, 773.70, 7.31, 47.9, 8.90, 297.7
2020, 771.83, 7.20, 45.3, 8.95, 296.9
2040, 769.97, 7.14, 40.8, 9.02, 296.3
2060, 768.10, 7.20, 37.8, 9.14, 297.7
2080, 766.24, 7.22, 35.3, 9.27, 300.1
2100, 764.39, 7.17, 33.3, 9.38, 301.2
2120, 762.54, 7.07, 31.8, 9.49, 300.6
2140, 760.69, 6.98, 31.1, 9.59, 298.7
2160, 758.85, 6.90, 31.0, 9.79, 296.1
2180, 757.01, 6.76, 31.1, 10.03, 292.7
2200, 755.18, 6.61, 31.5, 10.44, 289.8
2220, 753.35, 6.54, 32.2, 10.90, 287.4
2240, 751.52, 6.53, 33.1, 11.31, 284.6
2260, 749.70, 6.47, 33.9, 11.64, 282.7
2280, 747.88, 6.43, 34.8, 12.02, 281.2
2300, 746.07, 6.46, 35.8, 12.55, 280.0
2320, 744.25, 6.45, 36.5, 13.20, 279.3
2340, 742.45, 6.40, 37.2, 13.77, 279.5
2360, 740.65, 6.37, 38.0, 14.30, 279.9
2380, 738.85, 6.38, 38.7, 14.86, 280.2
2400, 737.06, 6.33, 38.8, 15.25, 279.7
2420, 735.27, 6.20, 38.7, 15.39, 279.1
2440, 733.48, 6.14, 38.8, 15.44, 278.4
2460, 731.70, 6.06, 38.8, 15.43, 277.6
2480, 729.92, 5.91, 38.4, 15.66, 276.3
2500, 728.15, 5.78, 37.3, 15.96, 274.1
2520, 726.38, 5.81, 35.2, 16.35, 272.1
2540, 724.61, 5.94, 32.5, 16.56, 270.5
2560, 722.85, 5.99, 29.7, 16.72, 268.6
2580, 721.10, 5.96, 28.3, 16.66, 266.6
2600, 719.34, 5.81, 27.9, 16.60, 265.0
2620, 717.59, 5.60, 27.8, 16.51, 264.2
2640, 715.84, 5.46, 27.9, 16.53, 263.9
2660, 714.10, 5.33, 28.0, 16.57, 263.2
2680, 712.36, 5.13, 28.1, 16.70, 262.2
2700, 710.62, 5.03, 28.1, 16.81, 261.3
2720, 708.89, 5.02, 28.0, 16.96, 260.9
2740, 707.16, 4.98, 27.7, 17.12, 261.2
2760, 705.43, 4.70, 27.5, 17.35, 261.4
2780, 703.71, 4.47, 27.4, 17.49, 261.6
2800, 701.99, 4.27, 27.3, 17.48, 261.8
2820, 700.27, 4.14, 27.2, 17.44, 262.3
2840, 698.56, 3.93, 27.3, 17.32, 262.4
2860, 696.84, 3.68, 27.5, 17.32, 262.0
2880, 695.14, 3.51, 27.6, 17.37, 261.5
2900, 693.43, 3.41, 27.7, 17.48, 261.2
2920, 691.73, 3.30, 27.8, 17.60, 261.1
2940, 690.03, 3.10, 27.9, 17.79, 261.1
2960, 688.33, 2.90, 27.9, 17.85, 260.7
2980, 686.64, 2.71, 27.8, 18.00, 260.3
3000, 684.95, 2.45, 27.7, 18.05, 259.5
3020, 683.26, 2.27, 27.5, 18.15, 259.1
3040, 681.58, 2.06, 27.2, 18.30, 258.6
3060, 679.89, 1.84, 26.6, 18.74, 258.5
3080, 678.22, 1.74, 25.9, 19.13, 258.1
3100, 676.54, 1.70, 25.1, 19.41, 257.5
3120, 674.87, 1.60, 23.9, 19.61, 256.7
3140, 673.20, 1.41, 22.4, 19.66, 256.3
3160, 671.53, 1.20, 21.3, 19.58, 256.4
3180, 669.87, 1.11, 21.4, 19.41, 256.8
3200, 668.21, 1.12, 21.9, 19.25, 257.1
3220, 666.56, 1.02, 22.6, 19.07, 257.4
3240, 664.90, 0.61, 24.2, 19.02, 258.0
3260, 663.25, 0.31, 26.0, 18.96, 258.5
3280, 661.61, 0.17, 27.1, 18.88, 258.7
3300, 659.97, 0.12, 27.0, 18.66, 259.2
3320, 658.33, 0.08, 27.1, 18.37, 259.5
3340, 656.69, 0.00, 28.1, 18.03, 259.6
3360, 655.06, -0.10, 28.3, 17.78, 258.8
3380, 653.43, -0.22, 27.3, 17.70, 258.6
3400, 651.81, -0.34, 26.2, 17.66, 258.4
3420, 650.18, -0.50, 25.7, 17.60, 258.8
3440, 648.57, -0.70, 26.2, 17.55, 259.6
3460, 646.95, -0.91, 28.0, 17.49, 260.7
3480, 645.34, -0.96, 30.5, 17.43, 261.3
3500, 643.73, -1.02, 32.7, 17.44, 261.5
3520, 642.12, -1.22, 34.7, 17.44, 261.9
3540, 640.52, -1.51, 36.4, 17.38, 261.9
3560, 638.92, -1.60, 37.5, 17.29, 262.1
3580, 637.32, -1.72, 38.1, 17.12, 262.4
3600, 635.73, -1.91, 38.4, 16.99, 263.0
3620, 634.13, -2.12, 38.5, 16.85, 263.1
3640, 632.54, -2.36, 39.0, 16.83, 262.9
3660, 630.96, -2.54, 39.5, 16.78, 263.0
3680, 629.38, -2.57, 39.8, 16.77, 263.6
3700, 627.80, -2.66, 40.7, 16.91, 264.1
3720, 626.22, -2.89, 42.3, 17.23, 264.2
3740, 624.65, -3.11, 43.9, 17.54, 264.4
3760, 623.08, -3.20, 45.3, 17.21, 264.5
3780, 621.51, -3.29, 46.8, 16.89, 264.6
3800, 619.95, -3.38, 48.2, 16.56, 264.6
3820, 618.39, -3.49, 49.4, 16.30, 264.8
3840, 616.83, -3.63, 50.0, 16.16, 265.1
3860, 615.28, -3.76, 50.7, 16.03, 265.5
3880, 613.73, -3.90, 51.4, 15.89, 265.8
3900, 612.18, -4.04, 52.1, 15.76, 266.1
3920, 610.64, -4.17, 52.7, 15.62, 266.5
3940, 609.10, -4.31, 53.4, 15.48, 266.8
3960, 607.56, -4.45, 54.1, 15.35, 267.1
3980, 606.03, -4.58, 54.8, 15.21, 267.4
4000, 604.50, -4.72, 55.5, 15.08, 267.8
4020, 602.97, -4.89, 56.2, 15.10, 266.9
4040, 601.44, -5.03, 56.8, 14.98, 267.1
4060, 599.92, -5.17, 57.5, 14.86, 267.3
4080, 598.40, -5.31, 58.2, 14.74, 267.5
4100, 596.89, -5.45, 58.9, 14.62, 267.8
4120, 595.38, -5.70, 59.5, 14.41, 268.3
4140, 593.87, -5.93, 60.4, 14.23, 269.6
4160, 592.36, -6.01, 61.0, 14.12, 268.2
4180, 590.85, -6.14, 61.5, 14.01, 267.8
4200, 589.35, -6.30, 62.0, 13.90, 267.9
4220, 587.85, -6.47, 62.5, 13.78, 268.0
4240, 586.36, -6.64, 63.1, 13.67, 268.1
4260, 584.87, -6.80, 63.6, 13.55, 268.2
4280, 583.38, -6.97, 64.1, 13.44, 268.3
4300, 581.89, -7.14, 64.6, 13.32, 268.4
4320, 580.40, -7.30, 65.1, 13.21, 268.5
4340, 578.92, -7.47, 65.6, 13.09, 268.6
4360, 577.44, -7.64, 66.1, 12.98, 268.7
4380, 575.97, -7.80, 66.6, 12.86, 268.8
4400, 574.50, -7.97, 67.2, 12.75, 268.9
4420, 573.03, -8.14, 67.7, 12.63, 269.0
4440, 571.56, -8.26, 67.5, 12.97, 269.1
4460, 570.10, -8.38, 67.1, 13.46, 269.2
4480, 568.64, -8.49, 66.7, 13.96, 269.2
4500, 567.18, -8.47, 65.7, 14.40, 271.5
4520, 565.73, -8.43, 64.7, 14.65, 273.7
4540, 564.28, -8.47, 64.2, 14.75, 273.9
4560, 562.83, -8.59, 63.4, 14.76, 274.4
4580, 561.39, -8.82, 62.7, 14.73, 274.9
4600, 559.94, -9.05, 62.4, 14.61, 274.3
4620, 558.51, -9.23, 62.4, 14.65, 273.9
4640, 557.07, -9.27, 62.5, 14.76, 273.3
4660, 555.64, -9.40, 62.6, 14.89, 271.9
4680, 554.20, -9.60, 62.8, 15.12, 270.6
4700, 552.78, -9.80, 63.2, 15.33, 270.1
4720, 551.35, -9.91, 63.6, 15.60, 269.4
4740, 549.93, -10.02, 64.0, 15.86, 268.3
4760, 548.51, -10.05, 64.1, 16.22, 267.5
4780, 547.10, -10.08, 63.7, 16.55, 267.4
