UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
13:08:38, 166, 0, 97816,  ,  , 20.56, 50.50,  ,  ,  , 
13:08:39, 165, -1, 97820,  ,  , 20.57, 51.40,  ,  ,  , 
13:08:40, 165, -1, 97820,  ,  , 20.62, 51.60,  ,  ,  , 
13:08:41, 165, -1, 97820,  ,  , 20.65, 51.60,  ,  ,  , 
13:08:42, 165, -1, 97820,  ,  , 20.66, 51.40,  ,  ,  , 
13:08:43, 165, -1, 97819,  ,  , 20.67, 51.00,  ,  ,  , 
13:08:44, 165, -1, 97818,  ,  , 20.66, 50.50,  ,  ,  , 
13:08:45, 165, -1, 97818,  ,  , 20.66, 50.15,  ,  ,  , 
13:08:46, 165, -1, 97818,  ,  , 20.65, 49.85,  ,  ,  , 
13:08:47, 165, -1, 97819,  ,  , 20.61, 49.55,  ,  ,  , 
13:08:48, 165, -1, 97820,  ,  , 20.56, 49.30,  ,  ,  , 
13:08:49, 165, -1, 97819,  ,  , 20.56, 49.25,  ,  ,  , 
13:08:50, 165, -1, 97818,  ,  , 20.56, 49.60,  ,  ,  , 
13:08:51, 165, -1, 97818,  ,  , 20.56, 50.05,  ,  ,  , 0
13:08:52, 166, 0, 97816,  ,  , 20.60, 50.15,  ,  ,  , 0
13:08:53, 166, 0, 97815,  ,  , 20.62, 50.10,  ,  ,  , 0
13:08:54, 166, 0, 97814,  ,  , 20.63, 49.95,  ,  ,  , 0
13:08:54, 166, 0, 97814,  ,  , 20.65, 49.85,  ,  ,  , 0
13:08:55, 166, 0, 97815,  ,  , 20.67, 49.90,  ,  ,  , 0
13:08:56, 166, 0, 97816,  ,  , 20.69, 50.00,  ,  ,  , 0
13:08:57, 166, 0, 97814,  ,  , 20.70, 50.00,  ,  ,  , 0
13:08:58, 166, 0, 97813,  ,  , 20.72, 50.00,  ,  ,  , 0
13:08:59, 166, 0, 97812,  ,  , 20.73, 50.25, 22.0,  ,  , 0.1
13:09:00, 166, 0, 97813,  ,  , 20.76, 50.30,  ,  ,  , 0
13:09:01, 166, 0, 97814,  ,  , 20.77, 50.20,  ,  ,  , 0
13:09:02, 166, 0, 97816,  ,  , 20.79, 50.20,  ,  ,  , 0
13:09:03, 166, 0, 97813,  ,  , 20.80, 50.40,  ,  ,  , 0
13:09:04, 166, 0, 97810,  ,  , 20.82, 50.35,  ,  ,  , 0
13:09:05, 166, 0, 97808,  ,  , 20.84, 50.20,  ,  ,  , 0.1
13:09:06, 166, 0, 97809,  ,  , 20.85, 50.00,  ,  ,  , 0
13:09:07, 166, 0, 97810,  ,  , 20.84, 49.80,  ,  ,  , 0
13:09:08, 166, 0, 97812,  ,  , 20.84, 49.65,  ,  ,  , 0
13:09:09, 166, 0, 97813,  ,  , 20.84, 49.60,  ,  ,  , 0
13:09:10, 166, 0, 97814,  ,  , 20.83, 49.40,  ,  ,  , 0
13:09:11, 166, 0, 97816,  ,  , 20.81, 49.20,  ,  ,  , 0
13:09:12, 166, 0, 97815,  ,  , 20.79, 48.95,  ,  ,  , 0
13:09:13, 166, 0, 97814,  ,  , 20.76, 48.75,  ,  ,  , 0
13:09:14, 166, 0, 97814,  ,  , 20.71, 48.60,  ,  ,  , 0
13:09:15, 166, 0, 97814,  ,  , 20.67, 48.70,  ,  ,  , 0
13:09:16, 166, 0, 97815,  ,  , 20.64, 48.95,  ,  ,  , 0
13:09:17, 166, 0, 97816,  ,  , 20.61, 49.20,  ,  ,  , 0
13:09:18, 166, 0, 97815,  ,  , 20.56, 49.30,  ,  ,  , -0.1
13:09:19, 166, 0, 97814,  ,  , 20.56, 49.40,  ,  ,  , 0
13:09:20, 166, 0, 97814,  ,  , 20.54, 49.40,  ,  ,  , 0
13:09:20, 166, 0, 97814,  ,  , 20.54, 49.40,  ,  ,  , 0
13:09:21, 166, 0, 97814,  ,  , 20.54, 49.40,  ,  ,  , 0
13:09:22, 166, 0, 97814,  ,  , 20.50, 49.35,  ,  ,  , 0
13:09:23, 166, 0, 97814,  ,  , 20.48, 49.35,  ,  ,  , 0
13:09:24, 166, 0, 97815,  ,  , 20.47, 49.40,  ,  ,  , 0
13:09:25, 166, 0, 97816,  ,  , 20.46, 49.50, 22.5,  ,  , 0
13:09:26, 166, 0, 97816,  ,  , 20.46, 49.70,  ,  ,  , 0
13:09:27, 165, -1, 97817,  ,  , 20.46, 50.00,  ,  ,  , 0
13:09:28, 165, -1, 97818,  ,  , 20.47, 50.25,  ,  ,  , 0
13:09:29, 166, 0, 97816,  ,  , 20.48, 50.30,  ,  ,  , 0
13:09:30, 166, 0, 97815,  ,  , 20.48, 50.30,  ,  ,  , 0
13:09:31, 166, 0, 97814,  ,  , 20.50, 50.25,  ,  ,  , 0
13:09:32, 166, 0, 97813,  ,  , 20.50, 50.15,  ,  ,  , 0
13:09:33, 166, 0, 97812,  ,  , 20.51, 50.10,  ,  ,  , 0
13:09:34, 166, 0, 97812,  ,  , 20.54, 50.10,  ,  ,  , 0
13:09:35, 166, 0, 97814,  ,  , 20.54, 50.05,  ,  ,  , 0
13:09:36, 166, 0, 97817,  ,  , 20.54, 49.95,  ,  ,  , 0
13:09:37, 165, -1, 97820,  ,  , 20.54, 49.95,  ,  ,  , 0
13:09:38, 166, 0, 97816,  ,  , 20.54, 49.95,  ,  ,  , 0
13:09:39, 166, 0, 97812,  ,  , 20.54, 49.90,  ,  ,  , 0
13:09:40, 166, 0, 97808,  ,  , 20.54, 49.90,  ,  ,  , 0.1
13:09:41, 166, 0, 97809,  ,  , 20.54, 49.90,  ,  ,  , 0.1
13:09:42, 166, 0, 97810,  ,  , 20.54, 49.85,  ,  ,  , 0
13:09:43, 166, 0, 97812,  ,  , 20.54, 49.80,  ,  ,  , 0
13:09:44, 166, 0, 97812,  ,  , 20.54, 49.80,  ,  ,  , 0
13:09:45, 166, 0, 97813,  ,  , 20.54, 49.85,  ,  ,  , 0
13:09:46, 166, 0, 97814,  ,  , 20.54, 49.70,  ,  ,  , 0
13:09:47, 166, 0, 97814,  ,  , 20.54, 49.60,  ,  ,  , 0
13:09:48, 166, 0, 97815,  ,  , 20.54, 49.50,  ,  ,  , 0
13:09:49, 166, 0, 97816,  ,  , 20.54, 49.40,  ,  ,  , 0
13:09:49, 166, 0, 97813,  ,  , 20.54, 49.30,  ,  ,  , 0
13:09:50, 166, 0, 97810,  ,  , 20.54, 49.25,  ,  ,  , 0
13:09:51, 166, 0, 97808,  ,  , 20.54, 49.70, 23.5,  ,  , 0
13:09:52, 166, 0, 97808,  ,  , 20.54, 50.35,  ,  ,  , 0
13:09:53, 166, 0, 97808,  ,  , 20.54, 50.75,  ,  ,  , 0
13:09:54, 166, 0, 97808,  ,  , 20.54, 50.85,  ,  ,  , 0
13:09:55, 166, 0, 97809,  ,  , 20.56, 50.80,  ,  ,  , 0
13:09:56, 166, 0, 97811,  ,  , 20.56, 50.65,  ,  ,  , 0
13:09:57, 166, 0, 97814,  ,  , 20.56, 50.45,  ,  ,  , 0
13:09:58, 166, 0, 97812,  ,  , 20.56, 50.25,  ,  ,  , 0
13:09:59, 166, 0, 97811,  ,  , 20.56, 50.10,  ,  ,  , 0
13:10:00, 166, 0, 97810,  ,  , 20.56, 49.95,  ,  ,  , 0
13:10:01, 166, 0, 97809,  ,  , 20.56, 49.80,  ,  ,  , 0
13:10:02, 166, 0, 97808,  ,  , 20.56, 49.70,  ,  ,  , 0
13:10:03, 166, 0, 97808,  ,  , 20.58, 49.85,  ,  ,  , 0
13:10:04, 166, 0, 97807,  ,  , 20.61, 50.05,  ,  ,  , 0
13:10:05, 166, 0, 97806,  ,  , 20.63, 50.40,  ,  ,  , 0
13:10:06, 167, 0, 97806,  ,  , 20.65, 50.70,  ,  ,  , 0
