# Radiation correction v2.4. Params: lat=43.0248, lon=-87.8059, utc_time=2024-05-08 16:47
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 977.48, 16.37, 61.1, 5.60, 103.6
40, 975.21, 17.59, 55.2, 5.39, 110.6
60, 972.94, 18.37, 51.3, 4.92, 117.8
80, 970.69, 18.87, 49.0, 4.16, 120.2
100, 968.44, 19.22, 47.5, 3.28, 115.7
120, 966.20, 19.46, 46.4, 2.41, 114.9
140, 963.97, 19.59, 45.4, 1.83, 113.9
160, 961.74, 19.62, 44.7, 1.34, 109.9
180, 959.52, 19.55, 44.2, 0.95, 107.9
200, 957.30, 19.43, 43.4, 0.91, 103.8
220, 955.08, 19.41, 42.0, 1.12, 62.2
240, 952.87, 19.46, 40.4, 1.44, 32.6
260, 950.66, 19.50, 38.9, 1.84, 14.6
280, 948.46, 19.49, 37.7, 2.10, 1.2
300, 946.27, 19.39, 37.1, 2.21, 349.9
320, 944.07, 19.24, 37.0, 2.32, 344.6
340, 941.89, 19.07, 37.1, 2.41, 347.0
360, 939.70, 18.90, 37.2, 2.55, 348.1
380, 937.52, 18.71, 37.3, 2.73, 341.9
400, 935.34, 18.54, 37.3, 2.89, 342.1
420, 933.17, 18.43, 37.3, 3.04, 346.8
440, 931.00, 18.32, 37.3, 3.28, 353.1
460, 928.84, 18.16, 37.3, 3.46, 350.0
480, 926.68, 17.97, 37.3, 3.54, 346.4
500, 924.52, 17.71, 37.5, 3.65, 342.1
520, 922.36, 17.50, 37.7, 3.63, 342.4
540, 920.21, 17.37, 37.9, 3.63, 341.2
560, 918.06, 17.22, 38.1, 3.67, 339.7
580, 915.92, 17.03, 38.4, 3.83, 340.0
600, 913.78, 16.88, 38.7, 3.94, 339.8
620, 911.65, 16.77, 38.7, 4.03, 339.4
640, 909.51, 16.68, 38.4, 4.07, 339.5
660, 907.39, 16.62, 38.2, 4.05, 338.5
680, 905.26, 16.47, 38.1, 3.98, 338.4
700, 903.14, 16.20, 38.3, 3.82, 335.8
720, 901.03, 16.00, 38.7, 3.75, 329.6
740, 898.91, 15.90, 39.0, 3.59, 323.9
760, 896.80, 15.70, 39.4, 3.53, 321.3
780, 894.70, 15.38, 39.8, 3.46, 321.9
800, 892.60, 15.18, 40.0, 3.48, 320.7
820, 890.50, 15.04, 40.1, 3.44, 324.0
840, 888.41, 14.84, 40.2, 3.75, 329.3
860, 886.31, 14.67, 40.4, 3.97, 325.9
880, 884.22, 14.57, 40.6, 4.13, 315.4
900, 882.14, 14.58, 40.1, 4.21, 312.9
920, 880.06, 14.52, 39.2, 4.29, 318.1
940, 877.99, 14.36, 38.6, 4.21, 322.5
