# Radiation correction v2.4. Params: lat=43.0255, lon=-87.8898, utc_time=2024-05-08 20:03
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 978.25, 15.63, 64.5, 4.68, 129.4
40, 975.95, 15.40, 63.1, 4.94, 129.4
60, 973.67, 15.36, 61.9, 5.14, 126.0
80, 971.39, 15.50, 60.7, 5.38, 119.6
100, 969.11, 15.82, 59.2, 5.34, 116.3
120, 966.85, 16.26, 57.1, 5.40, 115.5
140, 964.59, 16.85, 53.5, 5.43, 119.0
160, 962.34, 17.05, 51.5, 5.43, 124.4
180, 960.09, 17.06, 50.3, 5.43, 127.4
200, 957.86, 17.05, 49.4, 5.31, 127.8
220, 955.63, 17.14, 48.7, 5.05, 126.8
240, 953.40, 17.27, 47.7, 4.79, 125.1
260, 951.18, 17.35, 46.8, 4.46, 122.9
280, 948.96, 17.47, 46.0, 4.14, 118.7
300, 946.76, 17.65, 44.8, 3.80, 117.5
320, 944.55, 17.91, 43.4, 3.36, 120.4
340, 942.36, 18.18, 42.1, 2.96, 121.3
360, 940.17, 18.30, 41.4, 2.77, 112.0
380, 937.98, 18.28, 41.4, 2.73, 104.0
400, 935.81, 18.34, 41.3, 2.71, 104.8
420, 933.63, 18.48, 40.8, 2.71, 109.6
440, 931.46, 18.55, 40.4, 2.66, 103.6
460, 929.30, 18.53, 40.5, 2.47, 89.9
480, 927.14, 18.50, 40.5, 2.16, 77.8
500, 924.98, 18.53, 40.4, 1.79, 70.8
520, 922.82, 18.57, 40.1, 1.42, 66.8
540, 920.68, 18.49, 39.5, 1.04, 74.1
560, 918.54, 18.35, 39.2, 0.77, 78.1
580, 916.40, 18.17, 39.1, 0.59, 83.2
600, 914.27, 17.97, 39.2, 0.40, 98.6
620, 912.14, 17.85, 39.4, 0.20, 115.2
640, 910.01, 17.71, 39.5, 0.10, 116.8
660, 907.89, 17.52, 39.7, 0.09, 116.8
680, 905.78, 17.25, 40.1, 0.12, 115.3
700, 903.66, 17.05, 40.4, 0.13, 101.8
720, 901.55, 16.90, 40.7, 0.14, 80.6
740, 899.45, 16.78, 40.8, 0.14, 104.0
