# Radiation correction v2.4. Params: lat=43.0249, lon=-87.8888, utc_time=2024-05-08 13:23
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 975.78, 16.31, 55.7, 3.47, 279.4
40, 973.50, 16.04, 55.9, 3.59, 288.6
60, 971.22, 15.92, 56.1, 3.68, 296.1
80, 968.94, 15.80, 56.2, 3.97, 296.1
100, 966.67, 15.73, 56.0, 4.33, 301.6
120, 964.41, 15.67, 55.5, 4.74, 312.0
140, 962.15, 15.59, 55.0, 5.23, 315.6
160, 959.90, 15.59, 54.2, 5.61, 314.7
180, 957.65, 15.65, 53.0, 6.06, 314.2
200, 955.41, 15.78, 51.7, 6.69, 315.2
220, 953.18, 16.19, 48.8, 7.36, 316.3
240, 950.95, 16.93, 44.3, 7.91, 316.0
260, 948.73, 17.47, 40.6, 8.03, 315.1
280, 946.52, 17.66, 38.9, 7.86, 315.4
300, 944.32, 17.69, 38.1, 7.66, 316.3
320, 942.12, 17.74, 37.8, 7.43, 318.9
340, 939.92, 17.77, 37.7, 7.42, 320.1
360, 937.73, 17.74, 37.8, 7.47, 318.7
380, 935.54, 17.52, 38.3, 7.57, 315.6
400, 933.36, 17.33, 39.1, 7.80, 312.8
420, 931.19, 17.21, 40.3, 8.15, 311.1
440, 929.01, 17.14, 41.3, 8.47, 311.1
460, 926.84, 17.10, 42.1, 8.79, 313.1
480, 924.68, 17.06, 42.6, 9.10, 315.5
500, 922.52, 16.94, 42.9, 9.23, 316.5
520, 920.37, 16.77, 43.1, 9.31, 316.5
540, 918.22, 16.66, 42.9, 9.35, 315.5
560, 916.07, 16.55, 42.0, 9.29, 314.7
580, 913.93, 16.43, 39.4, 9.18, 312.8
600, 911.79, 16.36, 37.1, 9.04, 311.5
620, 909.65, 16.31, 35.2, 8.95, 311.0
640, 907.52, 16.22, 33.3, 8.87, 310.5
660, 905.40, 16.16, 30.8, 8.85, 310.5
680, 903.28, 16.14, 28.5, 8.88, 311.5
700, 901.16, 16.12, 26.7, 8.98, 314.2
720, 899.05, 16.10, 25.8, 9.19, 315.8
740, 896.94, 16.12, 25.3, 9.36, 317.6
760, 894.83, 16.11, 25.0, 9.53, 319.0
780, 892.73, 15.93, 24.9, 9.64, 320.5
800, 890.63, 15.64, 25.0, 9.74, 321.4
820, 888.54, 15.45, 25.2, 9.79, 322.4
840, 886.45, 15.32, 25.3, 9.93, 322.9
860, 884.37, 15.14, 25.3, 10.00, 323.7
880, 882.29, 14.92, 25.5, 10.12, 324.8
900, 880.21, 14.67, 25.8, 10.36, 325.3
920, 878.13, 14.49, 26.2, 10.69, 325.2
940, 876.06, 14.38, 26.6, 11.00, 324.5
960, 873.99, 14.18, 27.0, 11.24, 323.6
980, 871.93, 13.93, 27.6, 11.40, 322.2
1000, 869.87, 13.69, 28.3, 11.45, 320.3
1020, 867.81, 13.63, 28.9, 11.45, 318.6
1040, 865.76, 13.60, 29.1, 11.42, 316.9
1060, 863.71, 13.48, 29.3, 11.38, 315.7
1080, 861.67, 13.34, 29.5, 11.26, 314.6
1100, 859.63, 13.11, 29.9, 11.14, 313.4
1120, 857.59, 12.88, 30.4, 11.02, 312.0
1140, 855.56, 12.76, 30.7, 10.99, 311.6
1160, 853.53, 12.58, 31.1, 11.02, 310.9
1180, 851.50, 12.37, 31.6, 11.06, 310.5
1200, 849.48, 12.19, 31.9, 11.11, 309.8
1220, 847.46, 11.97, 32.3, 11.11, 308.3
1240, 845.44, 11.72, 32.7, 11.14, 306.6
1260, 843.43, 11.46, 33.3, 11.09, 304.5
1280, 841.42, 11.28, 34.1, 11.03, 302.9
1300, 839.41, 11.20, 34.6, 11.02, 301.4
1320, 837.41, 11.14, 34.9, 11.04, 299.2
1340, 835.41, 11.03, 35.1, 11.02, 297.6
1360, 833.41, 10.83, 35.5, 11.10, 297.0
1380, 831.42, 10.64, 36.0, 11.10, 296.4
1400, 829.43, 10.45, 36.4, 11.23, 294.8
1420, 827.45, 10.11, 37.0, 11.37, 293.1
1440, 825.46, 9.81, 37.7, 11.65, 292.4
1460, 823.49, 9.76, 38.0, 11.93, 292.1
1480, 821.51, 9.73, 38.1, 12.27, 291.1
1500, 819.54, 9.67, 37.9, 12.66, 289.8
1520, 817.58, 9.55, 37.9, 13.04, 289.2
1540, 815.62, 9.43, 37.9, 13.38, 289.8
1560, 813.66, 9.40, 37.8, 13.62, 290.8
1580, 811.70, 9.39, 37.5, 13.72, 291.6
1600, 809.76, 9.27, 37.3, 13.76, 292.0
1620, 807.81, 9.01, 37.3, 13.77, 292.9
1640, 805.87, 8.75, 37.6, 13.86, 294.2
1660, 803.93, 8.51, 37.8, 13.94, 296.1
1680, 801.99, 8.36, 37.7, 14.13, 297.5
1700, 800.06, 8.26, 37.4, 14.28, 298.6
1720, 798.13, 8.12, 36.9, 14.42, 299.7
1740, 796.21, 7.98, 36.3, 14.57, 299.8
1760, 794.28, 7.85, 35.9, 14.69, 299.4
1780, 792.37, 7.91, 35.4, 14.73, 298.8
1800, 790.45, 8.00, 34.6, 14.77, 298.4
1820, 788.54, 7.96, 34.0, 14.77, 298.1
1840, 786.64, 7.55, 33.5, 14.79, 297.4
1860, 784.73, 7.31, 33.8, 14.90, 297.2
1880, 782.83, 7.10, 33.9, 15.04, 297.1
1900, 780.94, 6.88, 34.1, 15.11, 297.5
1920, 779.04, 6.60, 34.5, 15.15, 298.1
1940, 777.15, 6.45, 34.8, 15.27, 298.3
1960, 775.26, 6.32, 34.9, 15.34, 298.6
1980, 773.38, 6.14, 35.1, 15.44, 299.0
2000, 771.50, 6.00, 35.3, 15.56, 299.6
2020, 769.63, 5.90, 35.4, 15.84, 299.9
2040, 767.76, 5.78, 35.4, 16.18, 301.0
2060, 765.89, 5.64, 35.3, 16.50, 301.8
2080, 764.02, 5.51, 35.1, 16.81, 302.7
2100, 762.16, 5.38, 35.0, 17.13, 303.5
2120, 760.31, 5.25, 34.9, 17.45, 304.4
2140, 758.45, 5.07, 34.7, 17.48, 304.5
2160, 756.60, 4.84, 34.5, 17.39, 304.2
2180, 754.76, 4.61, 34.4, 17.35, 303.8
2200, 752.91, 4.39, 34.2, 17.24, 303.4
2220, 751.07, 4.16, 34.0, 17.14, 303.0
2240, 749.24, 3.92, 34.0, 17.09, 302.7
2260, 747.40, 3.71, 34.1, 17.13, 302.4
2280, 745.57, 3.56, 34.3, 17.11, 302.0
2300, 743.74, 3.45, 34.6, 17.10, 301.4
2320, 741.91, 3.42, 34.7, 17.06, 301.2
2340, 740.09, 3.21, 35.0, 17.14, 301.3
2360, 738.27, 2.95, 35.3, 17.24, 301.5
2380, 736.46, 2.70, 35.6, 17.33, 301.6
2400, 734.65, 2.40, 35.9, 17.24, 301.2
