# Radiation correction v2.4. Params: lat=43.2497, lon=-87.8424, utc_time=2023-09-14 16:39
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1001.39, 19.23, 46.1, 2.60, 107.5
40, 999.07, 18.38, 48.4, 2.49, 95.8
60, 996.75, 17.93, 50.1, 2.49, 88.5
80, 994.43, 17.69, 50.9, 2.51, 88.2
100, 992.11, 17.51, 51.4, 2.55, 85.4
120, 989.80, 17.33, 52.0, 2.57, 79.9
140, 987.49, 17.20, 51.5, 2.49, 77.7
160, 985.19, 17.10, 50.5, 2.34, 76.9
180, 982.89, 16.95, 49.7, 2.19, 76.5
200, 980.60, 16.77, 50.4, 1.94, 76.8
220, 978.31, 16.58, 51.3, 1.65, 81.7
240, 976.02, 16.39, 52.2, 1.50, 76.9
260, 973.74, 16.22, 53.1, 1.24, 70.2
280, 971.46, 16.10, 54.0, 0.97, 66.0
300, 969.18, 15.95, 54.9, 0.70, 57.2
320, 966.91, 15.82, 55.7, 0.49, 36.9
340, 964.65, 15.77, 55.9, 0.27, 17.8
360, 962.38, 15.50, 56.3, 0.24, 22.0
380, 960.12, 14.87, 57.8, 0.20, 43.2
400, 957.87, 14.49, 59.3, 0.18, 59.1
420, 955.61, 14.45, 59.7, 0.16, 59.1
440, 953.36, 14.38, 59.7, 0.20, 46.0
460, 951.11, 14.24, 59.9, 0.24, 346.0
480, 948.87, 14.24, 59.8, 0.37, 269.0
500, 946.64, 14.30, 59.2, 0.54, 247.7
520, 944.41, 14.21, 58.9, 0.86, 256.8
540, 942.19, 13.92, 59.6, 1.12, 274.3
560, 939.97, 13.68, 60.5, 1.26, 279.5
580, 937.75, 13.57, 61.2, 1.21, 282.8
600, 935.53, 13.46, 61.5, 1.22, 289.4
620, 933.32, 13.21, 62.0, 1.20, 291.7
640, 931.11, 12.89, 62.7, 1.27, 284.5
660, 928.91, 12.73, 63.5, 1.48, 275.0
680, 926.71, 12.65, 63.7, 1.77, 266.8
700, 924.51, 12.54, 63.8, 2.08, 261.0
720, 922.32, 12.33, 64.3, 2.38, 257.1
740, 920.13, 12.20, 64.9, 2.65, 257.4
760, 917.95, 12.09, 65.3, 2.71, 264.9
