UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
21:57:53, 182, 0, 100196,  ,  , 20.95, 57.80,  ,  ,  , 
21:58:00, 182, 0, 100194,  ,  , 21.12, 58.35,  ,  ,  , 
21:58:01, 182, 0, 100194,  ,  , 21.16, 58.40,  ,  ,  , 
21:58:02, 182, 0, 100194,  ,  , 21.21, 58.40,  ,  ,  , 
21:58:02, 182, 0, 100192,  ,  , 21.25, 58.30,  ,  ,  , 
21:58:03, 183, 0, 100191,  ,  , 21.29, 58.15,  ,  ,  , 
21:58:04, 183, 0, 100190,  ,  , 21.34, 57.90,  ,  ,  , 
21:58:05, 183, 0, 100190,  ,  , 21.37, 57.70,  ,  ,  , 0
21:58:06, 183, 0, 100190,  ,  , 21.40, 57.55,  ,  ,  , 0
21:58:07, 183, 0, 100190,  ,  , 21.43, 57.40,  ,  ,  , 0
21:58:08, 183, 0, 100191,  ,  , 21.45, 57.25,  ,  ,  , 0
21:58:09, 182, 0, 100192,  ,  , 21.49, 57.10,  ,  ,  , 0
21:58:10, 182, 0, 100194,  ,  , 21.49, 57.00,  ,  ,  , 0
21:58:11, 182, 0, 100193,  ,  , 21.51, 56.90,  ,  ,  , 0
21:58:12, 182, 0, 100192,  ,  , 21.53, 56.75,  ,  ,  , 0
21:58:13, 183, 0, 100192,  ,  , 21.54, 56.65,  ,  ,  , 0
21:58:14, 182, 0, 100192,  ,  , 21.56, 56.50,  ,  ,  , 0
21:58:15, 182, 0, 100193,  ,  , 21.58, 56.60,  ,  ,  , 0
21:58:16, 182, 0, 100194,  ,  , 21.61, 56.90,  ,  ,  , 0
21:58:17, 182, 0, 100192,  ,  , 21.64, 57.10,  ,  ,  , 0
21:58:18, 183, 0, 100191,  ,  , 21.67, 57.00,  ,  ,  , 0
21:58:19, 183, 0, 100190,  ,  , 21.69, 56.85,  ,  ,  , 0
21:58:20, 183, 0, 100191,  ,  , 21.71, 56.70,  ,  ,  , 0
21:58:21, 182, 0, 100193,  ,  , 21.74, 56.55,  ,  ,  , 0
