# Radiation correction v2.4. Params: lat=43.0269, lon=-87.8419, utc_time=2023-09-14 14:14
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1000.83, 17.35, 56.9, 2.24, 349.0
40, 998.50, 17.06, 57.6, 2.05, 350.8
60, 996.17, 16.91, 58.3, 1.96, 348.2
80, 993.85, 16.74, 58.7, 1.84, 342.5
100, 991.53, 16.60, 58.9, 1.69, 339.0
120, 989.21, 16.43, 58.6, 1.60, 335.7
140, 986.90, 16.22, 58.1, 1.55, 332.8
160, 984.59, 16.05, 57.9, 1.48, 332.3
180, 982.28, 15.85, 58.3, 1.45, 337.7
200, 979.98, 15.68, 59.2, 1.50, 339.2
220, 977.68, 15.53, 59.3, 1.55, 340.6
240, 975.39, 15.38, 59.2, 1.64, 345.0
260, 973.10, 15.22, 58.4, 1.67, 352.3
280, 970.81, 15.10, 56.2, 1.73, 354.4
300, 968.53, 15.01, 54.1, 1.69, 357.5
320, 966.26, 14.86, 53.6, 1.68, 3.5
340, 963.98, 14.69, 53.8, 1.66, 6.7
360, 961.72, 14.51, 54.0, 1.66, 5.3
380, 959.45, 14.31, 54.3, 1.68, 4.7
400, 957.19, 14.18, 54.4, 1.69, 5.7
420, 954.93, 14.13, 54.4, 1.74, 6.4
440, 952.68, 13.94, 54.4, 1.85, 10.8
460, 950.43, 13.77, 54.7, 1.99, 11.7
480, 948.19, 13.63, 55.0, 2.05, 10.8
500, 945.95, 13.44, 55.3, 2.11, 9.6
520, 943.71, 13.24, 55.7, 2.17, 8.5
540, 941.48, 13.04, 56.0, 2.23, 6.9
560, 939.25, 12.86, 56.1, 2.23, 4.2
580, 937.03, 12.72, 55.8, 2.26, 1.2
600, 934.81, 12.59, 55.5, 2.20, 359.1
620, 932.59, 12.37, 55.4, 2.11, 356.4
640, 930.37, 12.18, 55.5, 2.03, 353.9
660, 928.17, 12.11, 55.4, 1.90, 352.3
680, 925.96, 11.99, 55.2, 1.75, 350.0
700, 923.76, 11.83, 54.8, 1.61, 350.3
720, 921.56, 11.69, 54.3, 1.45, 351.1
740, 919.37, 11.55, 53.7, 1.16, 353.8
760, 917.18, 11.39, 53.3, 1.02, 355.2
780, 915.00, 11.19, 53.0, 0.93, 350.3
800, 912.82, 11.01, 53.3, 1.00, 338.3
820, 910.64, 10.85, 54.4, 1.02, 326.2
840, 908.47, 10.71, 55.9, 1.13, 322.2
860, 906.30, 10.48, 57.5, 1.09, 315.2
880, 904.14, 10.23, 59.0, 1.07, 306.4
900, 901.98, 10.04, 60.1, 1.15, 291.1
920, 899.82, 9.89, 61.3, 1.43, 273.4
940, 897.66, 9.74, 63.9, 1.63, 258.9
960, 895.51, 9.62, 67.1, 1.79, 249.9
980, 893.37, 9.58, 68.7, 1.96, 243.3
1000, 891.23, 9.49, 69.3, 2.14, 234.2
1020, 889.09, 9.34, 69.7, 2.36, 225.3
1040, 886.96, 9.29, 69.4, 2.58, 219.1
1060, 884.83, 9.22, 68.4, 2.78, 211.9
1080, 882.70, 9.10, 67.8, 2.91, 207.3
1100, 880.58, 8.95, 68.3, 3.02, 204.0
1120, 878.47, 8.83, 69.7, 3.11, 202.5
1140, 876.36, 8.65, 71.9, 3.14, 199.9
1160, 874.25, 8.41, 74.1, 3.18, 196.2
1180, 872.15, 8.08, 76.8, 3.26, 188.3
1200, 870.05, 7.92, 78.3, 3.32, 184.7
1220, 867.95, 7.84, 78.9, 3.34, 184.0
1240, 865.86, 7.73, 79.6, 3.34, 183.8
1260, 863.77, 7.62, 80.2, 3.33, 181.8
1280, 861.69, 7.51, 80.3, 3.35, 180.4
1300, 859.61, 7.43, 79.1, 3.46, 181.1
1320, 857.53, 7.37, 74.1, 3.67, 186.6
1340, 855.46, 7.37, 69.2, 3.86, 194.6
1360, 853.40, 7.41, 65.7, 3.86, 203.0
1380, 851.34, 7.37, 61.1, 3.77, 213.2
1400, 849.28, 7.29, 57.4, 3.66, 221.3
1420, 847.22, 7.27, 54.1, 3.59, 228.7
1440, 845.18, 7.37, 50.8, 3.61, 235.6
1460, 843.13, 7.36, 48.9, 3.76, 238.9
1480, 841.09, 7.21, 47.0, 3.89, 246.7
1500, 839.05, 7.04, 44.1, 4.08, 254.6
1520, 837.02, 6.96, 41.5, 4.28, 259.8
1540, 835.00, 6.93, 38.7, 4.44, 265.9
1560, 832.97, 6.86, 38.1, 4.60, 270.1
1580, 830.95, 6.82, 38.4, 4.65, 272.0
1600, 828.94, 6.80, 38.1, 4.59, 274.6
1620, 826.93, 6.90, 36.7, 4.55, 277.9
1640, 824.93, 6.89, 35.1, 4.52, 280.6
1660, 822.93, 6.91, 34.4, 4.49, 282.2
1680, 820.93, 6.76, 34.1, 4.42, 284.4
1700, 818.94, 6.66, 33.8, 4.19, 288.4
1720, 816.96, 6.71, 30.8, 3.85, 296.2
1740, 814.98, 6.90, 24.6, 3.55, 306.8
1760, 813.00, 6.99, 18.9, 3.29, 313.2
1780, 811.04, 7.16, 13.6, 3.29, 320.1
1800, 809.07, 7.15, 11.3, 3.46, 325.2
1820, 807.11, 7.04, 10.6, 3.74, 329.0
1840, 805.15, 7.00, 9.9, 3.98, 332.2
1860, 803.20, 7.04, 9.9, 4.19, 333.6
1880, 801.25, 6.97, 10.1, 4.27, 332.8
1900, 799.31, 6.93, 10.1, 4.22, 330.5
1920, 797.37, 6.97, 9.6, 4.08, 327.8
1940, 795.44, 7.11, 9.2, 3.90, 324.7
1960, 793.51, 7.12, 9.1, 3.72, 321.9
1980, 791.59, 7.03, 9.2, 3.56, 320.9
2000, 789.67, 6.67, 9.3, 3.50, 319.7
2020, 787.75, 6.41, 9.5, 3.59, 316.0
2040, 785.84, 6.27, 9.5, 3.85, 311.1
2060, 783.93, 6.14, 9.5, 4.23, 308.1
2080, 782.03, 6.25, 9.4, 4.57, 307.8
2100, 780.13, 6.44, 9.5, 4.98, 310.7
2120, 778.23, 6.55, 9.9, 5.42, 315.9
2140, 776.34, 6.65, 10.5, 5.93, 321.1
2160, 774.46, 6.88, 11.1, 6.42, 324.4
2180, 772.58, 6.88, 11.3, 6.83, 325.8
2200, 770.71, 6.83, 11.5, 7.17, 325.9
2220, 768.84, 6.84, 11.9, 7.39, 325.3
2240, 766.98, 7.10, 12.3, 7.46, 325.3
2260, 765.12, 7.34, 12.9, 7.47, 325.4
2280, 763.27, 7.56, 14.0, 7.48, 325.8
2300, 761.43, 7.88, 13.9, 7.48, 326.5
2320, 759.59, 8.64, 12.0, 7.46, 326.6
