# Radiation correction v2.4. Params: lat=43.2496, lon=-87.7279, utc_time=2023-09-14 17:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
2260, 759.28, 7.70, 13.0, 4.83, 335.9
2280, 757.44, 7.58, 12.5, 5.34, 340.3
2300, 755.61, 7.49, 11.3, 5.91, 342.9
2320, 753.78, 7.42, 9.4, 6.33, 343.2
2340, 751.96, 7.41, 7.6, 6.48, 343.6
2360, 750.14, 7.62, 6.3, 6.57, 344.5
2380, 748.33, 7.82, 5.5, 6.51, 344.7
2400, 746.52, 7.77, 5.1, 6.42, 344.5
2420, 744.72, 7.66, 4.8, 6.37, 344.3
2440, 742.92, 7.65, 4.8, 6.24, 344.1
2460, 741.12, 7.61, 5.3, 6.10, 343.0
2480, 739.33, 7.54, 6.0, 6.01, 341.3
2500, 737.54, 7.54, 6.3, 5.80, 340.6
2520, 735.76, 7.53, 6.4, 5.37, 339.2
2540, 733.98, 7.47, 6.4, 5.02, 338.1
2560, 732.20, 7.35, 6.3, 4.85, 337.5
2580, 730.43, 7.32, 6.1, 4.95, 337.4
2600, 728.66, 7.50, 5.9, 5.08, 336.4
2620, 726.89, 7.74, 5.7, 5.20, 336.6
2640, 725.13, 7.75, 5.5, 5.03, 337.9
2660, 723.38, 7.44, 5.3, 4.87, 339.6
2680, 721.62, 7.23, 5.1, 4.79, 339.9
2700, 719.87, 7.02, 5.2, 4.80, 339.3
2720, 718.13, 6.77, 5.4, 4.85, 339.1
2740, 716.38, 6.61, 5.6, 4.93, 338.8
2760, 714.65, 6.60, 5.5, 4.68, 338.9
2780, 712.91, 6.44, 5.6, 4.07, 339.0
2800, 711.18, 6.19, 5.7, 3.78, 318.0
2820, 709.45, 6.16, 5.8, 3.80, 313.5
2840, 707.73, 6.19, 5.8, 4.17, 322.2
2860, 706.00, 6.12, 5.8, 4.67, 339.7
2880, 704.29, 5.96, 5.9, 5.09, 336.4
2900, 702.57, 5.99, 5.9, 4.96, 332.5
2920, 700.86, 6.02, 5.9, 4.97, 326.9
2940, 699.16, 6.06, 6.4, 5.15, 327.0
2960, 697.46, 6.07, 7.8, 5.65, 330.5
2980, 695.76, 5.99, 10.1, 6.18, 331.6
3000, 694.07, 5.80, 12.0, 6.33, 330.1
3020, 692.38, 5.45, 13.9, 6.03, 327.4
3040, 690.69, 5.23, 15.5, 5.89, 327.1
3060, 689.00, 5.09, 16.1, 5.80, 327.3
3080, 687.32, 4.96, 16.7, 6.01, 327.5
3100, 685.64, 4.70, 18.5, 6.19, 325.5
3120, 683.97, 4.60, 20.3, 6.22, 323.4
3140, 682.29, 4.54, 21.6, 5.96, 322.9
3160, 680.63, 4.51, 22.9, 5.76, 324.8
3180, 678.96, 4.38, 23.9, 5.53, 326.8
3200, 677.30, 4.10, 25.1, 5.48, 327.0
3220, 675.64, 3.94, 25.8, 5.55, 326.0
