# Radiation correction v2.4. Params: lat=43.2468, lon=-87.8431, utc_time=2023-09-14 17:03
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1000.39, 17.75, 51.6, 3.48, 92.7
40, 998.07, 17.62, 51.0, 3.50, 93.3
60, 995.74, 17.51, 50.8, 3.51, 95.0
80, 993.42, 17.37, 50.7, 3.48, 98.2
100, 991.11, 17.16, 50.8, 3.44, 100.0
120, 988.80, 16.95, 51.1, 3.41, 100.9
140, 986.49, 16.76, 51.7, 3.41, 101.3
160, 984.18, 16.59, 52.4, 3.38, 100.2
180, 981.88, 16.40, 53.1, 3.43, 97.4
200, 979.59, 16.22, 53.6, 3.47, 96.0
220, 977.29, 15.98, 54.2, 3.51, 98.6
240, 975.00, 15.74, 54.9, 3.32, 103.6
260, 972.72, 15.62, 55.4, 2.97, 99.7
280, 970.44, 15.52, 55.9, 2.49, 93.2
300, 968.16, 15.43, 56.4, 2.14, 86.0
320, 965.89, 15.29, 57.0, 1.82, 90.0
340, 963.62, 15.12, 57.8, 1.70, 99.4
360, 961.36, 14.97, 58.2, 1.48, 103.4
380, 959.10, 14.87, 58.5, 1.18, 106.1
400, 956.84, 14.71, 58.8, 0.82, 114.1
420, 954.59, 14.54, 59.1, 0.46, 116.5
440, 952.34, 14.36, 59.5, 0.22, 104.2
460, 950.10, 14.13, 60.2, 0.26, 101.4
480, 947.86, 13.97, 60.7, 0.54, 162.6
500, 945.63, 13.85, 61.1, 0.87, 224.8
520, 943.40, 13.74, 61.4, 1.20, 261.2
540, 941.17, 13.58, 61.8, 1.47, 264.2
560, 938.95, 13.40, 62.2, 1.65, 263.8
580, 936.73, 13.22, 62.6, 1.73, 268.4
600, 934.51, 13.06, 63.1, 1.71, 272.9
620, 932.30, 12.88, 63.5, 1.62, 279.4
640, 930.10, 12.66, 64.1, 1.65, 281.9
660, 927.89, 12.47, 64.7, 1.69, 274.8
680, 925.69, 12.32, 65.2, 1.90, 263.2
700, 923.50, 12.19, 65.9, 2.31, 253.4
720, 921.31, 12.04, 66.5, 2.72, 255.1
740, 919.12, 11.88, 66.8, 3.03, 260.9
760, 916.93, 11.71, 67.1, 3.28, 262.3
780, 914.75, 11.60, 67.1, 3.48, 259.0
800, 912.58, 11.50, 67.1, 3.55, 255.9
820, 910.41, 11.33, 67.3, 3.58, 254.9
840, 908.24, 11.24, 67.6, 3.65, 252.0
860, 906.08, 11.16, 67.9, 3.77, 246.0
880, 903.91, 10.86, 68.5, 3.88, 246.9
900, 901.76, 10.50, 69.5, 4.02, 251.9
920, 899.60, 10.28, 70.2, 4.14, 254.2
940, 897.46, 10.03, 70.9, 4.24, 252.6
960, 895.31, 9.75, 71.8, 4.21, 253.6
980, 893.17, 9.65, 72.4, 4.24, 255.4
1000, 891.03, 9.54, 72.6, 4.17, 257.1
1020, 888.89, 9.42, 72.9, 4.16, 258.2
1040, 886.76, 9.27, 73.2, 4.18, 258.5
1060, 884.64, 9.08, 73.8, 4.37, 260.7
1080, 882.51, 8.85, 74.5, 4.55, 264.1
1100, 880.40, 8.71, 74.8, 4.79, 263.7
1120, 878.28, 8.54, 75.1, 4.91, 262.4
1140, 876.17, 8.45, 74.5, 4.99, 263.5
1160, 874.06, 8.33, 73.4, 5.03, 264.5
1180, 871.96, 8.17, 72.9, 5.07, 262.7
1200, 869.85, 7.94, 74.2, 5.07, 260.5
1220, 867.76, 7.61, 76.4, 5.14, 260.6
1240, 865.66, 7.36, 78.9, 5.17, 259.4
1260, 863.57, 7.30, 79.8, 5.20, 259.2
1280, 861.49, 7.25, 79.9, 5.21, 259.8
1300, 859.41, 7.03, 79.6, 5.17, 265.2
1320, 857.33, 6.86, 79.4, 5.00, 266.7
1340, 855.25, 6.80, 79.2, 4.88, 267.1
1360, 853.18, 6.69, 78.6, 4.86, 268.9
1380, 851.12, 6.44, 77.8, 4.86, 271.4
