# Radiation correction v2.4. Params: lat=43.1294, lon=-87.8407, utc_time=2023-09-14 15:44
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1000.45, 17.80, 54.5, 2.09, 47.5
40, 998.12, 17.06, 57.0, 2.08, 44.6
60, 995.80, 16.95, 55.9, 2.03, 40.2
80, 993.47, 16.86, 53.9, 1.96, 37.8
100, 991.15, 16.70, 52.2, 1.87, 36.7
120, 988.84, 16.51, 51.7, 1.79, 37.9
140, 986.53, 16.35, 51.0, 1.70, 37.2
160, 984.22, 16.19, 50.8, 1.64, 36.0
180, 981.91, 16.03, 51.1, 1.59, 39.5
200, 979.61, 15.86, 51.6, 1.55, 45.5
220, 977.32, 15.69, 51.9, 1.45, 46.7
240, 975.03, 15.51, 52.2, 1.42, 49.4
260, 972.74, 15.29, 52.7, 1.40, 46.3
280, 970.46, 15.13, 53.0, 1.44, 40.9
300, 968.18, 14.96, 53.2, 1.41, 34.7
320, 965.90, 14.79, 53.5, 1.45, 32.7
340, 963.63, 14.60, 53.8, 1.47, 28.0
360, 961.36, 14.40, 54.1, 1.50, 25.0
380, 959.10, 14.24, 54.3, 1.45, 22.8
400, 956.84, 14.09, 54.5, 1.45, 19.6
420, 954.58, 13.92, 54.8, 1.41, 10.3
440, 952.33, 13.79, 55.4, 1.35, 356.8
460, 950.08, 13.62, 56.5, 1.31, 334.4
480, 947.83, 13.38, 58.4, 1.28, 312.9
500, 945.59, 13.23, 59.1, 1.28, 303.9
520, 943.36, 13.11, 59.5, 1.34, 299.8
540, 941.13, 12.91, 60.4, 1.40, 296.2
560, 938.90, 12.68, 61.6, 1.52, 297.0
580, 936.67, 12.48, 62.7, 1.62, 298.9
600, 934.45, 12.31, 63.5, 1.73, 299.2
620, 932.24, 12.18, 64.0, 1.81, 296.0
640, 930.02, 12.00, 64.5, 1.86, 290.0
660, 927.82, 11.82, 65.0, 1.92, 283.2
680, 925.61, 11.61, 65.7, 2.01, 277.1
700, 923.41, 11.46, 66.2, 2.06, 277.6
720, 921.21, 11.32, 66.6, 2.10, 279.3
740, 919.02, 11.10, 67.2, 2.19, 280.2
760, 916.83, 10.89, 67.8, 2.28, 274.2
